Gene	RegionStart	RegionStop	GeneStart	GeneStop	Feature	FeatureStart	FeatureStop	PeakIntensity
AATF	-20000	127997	0	107997	H3K4me3	118163	119974	468
AATF	-20000	127997	0	107997	H3K4me3	-15838	-15396	415
AATF	-20000	127997	0	107997	H3K4me3	-13853	-12039	528
AATF	-20000	127997	0	107997	H3K9ac	-17198	-16291	316
AATF	-20000	127997	0	107997	H3K9ac	-13633	-11994	394
AATF	-20000	127997	0	107997	H3K9ac	-1836	2451	878
AATF	-20000	127997	0	107997	H3K4me3	-1735	3072	857
AATF	-20000	127997	0	107997	H3K9ac	118528	119156	395
AATF	-20000	127997	0	107997	H3K4me3	-16937	-16575	471
ABCG2	-20000	161059	0	141059	H3K36me3	124074	140536	287
ABCG2	-20000	161059	0	141059	H3K36me3	92845	101975	308
ABCG2	-20000	161059	0	141059	H3K27me3	18421	18923	561
ABCG2	-20000	161059	0	141059	H3K9ac	52371	52689	386
ABCG2	-20000	161059	0	141059	H3K9ac	70836	74037	515
ABCG2	-20000	161059	0	141059	H3K9ac	82053	88420	264
ABCG2	-20000	161059	0	141059	H3K4me3	125782	126302	364
ABCG2	-20000	161059	0	141059	H3K4me3	52575	53480	433
ABCG2	-20000	161059	0	141059	H3K4me3	71191	73644	876
ABCG2	-20000	161059	0	141059	H3K4me3	84812	88107	310
ACE	-20000	57026	0	37026	H3K4me3	-6243	-5802	406
ACE	-20000	57026	0	37026	H3K27me3	4694	8326	439
ACE	-20000	57026	0	37026	H3K9ac	-6345	-5619	309
ACE	-20000	57026	0	37026	H3K27me3	12892	46000	340
ACO1	-20000	86232	0	66232	H3K9ac	10745	12327	331
ACO1	-20000	86232	0	66232	H3K27me3	-2808	-1805	427
ACO1	-20000	86232	0	66232	H3K9ac	-801	1277	717
ACO1	-20000	86232	0	66232	H3K4me3	11194	11442	475
ACO1	-20000	86232	0	66232	H3K4me3	10878	11092	472
ACO1	-20000	86232	0	66232	H3K4me3	-1373	2509	690
ACTB	-20000	23454	0	3454	H3K9ac	-18436	-17712	547
ACTB	-20000	23454	0	3454	H3K4me3	19238	21790	318
ACTB	-20000	23454	0	3454	H3K4me3	-19423	-18470	473
ACTB	-20000	23454	0	3454	H3K4me3	-3252	4777	900
ACTB	-20000	23454	0	3454	H3K4me3	14796	18939	1000
ACTB	-20000	23454	0	3454	H3K9ac	21153	21401	454
ACTB	-20000	23454	0	3454	H3K9ac	20552	20745	438
ACTB	-20000	23454	0	3454	H3K9ac	-19917	-19804	485
ACTB	-20000	23454	0	3454	H3K9ac	14833	18926	929
ACTB	-20000	23454	0	3454	H3K9ac	-19500	-18507	849
ACTB	-20000	23454	0	3454	H3K36me3	19582	19685	1000
ACTB	-20000	23454	0	3454	H3K9ac	-4280	5384	1000
ACTB	-20000	23454	0	3454	H3K36me3	483	5932	686
ACTC1	-20000	27631	0	7631	H3K9ac	25	126	484
ACTC1	-20000	27631	0	7631	H3K9ac	-16171	-14424	450
ACTC1	-20000	27631	0	7631	H3K4me3	26828	27602	321
ACTC1	-20000	27631	0	7631	H3K9ac	-4482	-3384	469
ACTC1	-20000	27631	0	7631	H3K4me3	-16019	-14503	377
ACTC1	-20000	27631	0	7631	H3K4me3	-4691	-2939	508
ACTC1	-20000	27631	0	7631	H3K4me3	10	765	409
ACTC1	-20000	27631	0	7631	H3K9ac	277	746	474
ADAM19	-20000	200290	0	180290	H3K27me3	29539	32358	408
ADAM19	-20000	200290	0	180290	H3K27me3	10854	12179	513
ADAM19	-20000	200290	0	180290	H3K27me3	130562	132252	401
ADAM19	-20000	200290	0	180290	H3K27me3	33349	33903	531
ADAM19	-20000	200290	0	180290	H3K27me3	34219	34753	536
ADAM19	-20000	200290	0	180290	H3K9ac	63915	64091	451
ADAM23	-20000	197487	0	177487	H3K4me3	171109	171391	410
ADAM23	-20000	197487	0	177487	H3K4me3	167871	168064	496
ADAM23	-20000	197487	0	177487	H3K9ac	171028	172051	301
ADAM9	-20000	128275	0	108275	H3K4me3	-3486	5155	900
ADAM9	-20000	128275	0	108275	H3K9ac	40549	42147	356
ADAM9	-20000	128275	0	108275	H3K9ac	-2638	4401	720
ADAM9	-20000	128275	0	108275	H3K4me3	40911	42688	377
AIM1	-20000	79030	0	59030	H3K9ac	50571	50675	472
AIM1	-20000	79030	0	59030	H3K36me3	64355	64464	1000
AIM1	-20000	79030	0	59030	H3K4me3	49910	50755	327
AIM1	-20000	79030	0	59030	H3K9ac	63015	63540	322
AIM1	-20000	79030	0	59030	H3K9ac	-256	2375	493
AIM1	-20000	79030	0	59030	H3K9ac	13395	14189	468
AIM1	-20000	79030	0	59030	H3K36me3	44842	44944	1000
AIM1	-20000	79030	0	59030	H3K9ac	29501	30238	409
AIM1	-20000	79030	0	59030	H3K9ac	7867	9106	291
AIM1	-20000	79030	0	59030	H3K36me3	49382	49506	1000
AIM1	-20000	79030	0	59030	H3K4me3	29633	29994	532
AIM1	-20000	79030	0	59030	H3K36me3	49794	49913	1000
