uniqueID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	uniprotID	description	geneSymbol	txSize	cdsSize
YAL012W	chrI	+	130801	131986	130801	131986	1	130801,	131986,	P31373	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine	CYS3	1185	1185
YAL069W	chrI	+	334	649	334	649	1	334,	649,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL069W	315	315
YAL068W-A	chrI	+	537	792	537	792	1	537,	792,	n/a	Dubious open reading frame unlikely to encode a protein  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAL068W-A	255	255
YAL068C	chrI	-	1806	2169	1806	2169	1	1806,	2169,	P53055	Hypothetical protein of unknown function  YAL068C is not an essential gene	YAL068C	363	363
YAL067W-A	chrI	+	2479	2707	2479	2707	1	2479,	2707,	Q8TGK6	Putative protein of unknown function  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAL067W-A	228	228
YAL067C	chrI	-	7235	9017	7235	9017	1	7235,	9017,	P39709	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily  mutation confers resistance to ethionine sulfoxide	SEO1	1782	1782
YAL066W	chrI	+	10091	10400	10091	10400	1	10091,	10400,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL066W	309	309
YAL065C	chrI	-	11565	11952	11565	11952	1	11565,	11952,	O13511	Putative protein of unknown function  has homology to FLO1  possible pseudogene	YAL065C	387	387
YAL064W-B	chrI	+	12046	12427	12046	12427	1	12046,	12427,	O13512	Fungal-specific protein of unknown function	YAL064W-B	381	381
YAL064C-A	chrI	-	13363	13744	13363	13744	1	13363,	13744,	Q6B2U8	Putative protein of unknown function  YAL064C-A is not an essential gene	YAL064C-A	381	381
YAL064W	chrI	+	21525	21852	21525	21852	1	21525,	21852,	P39711	Protein of unknown function  may interact with ribosomes, based on co-purification experiments	YAL064W	327	327
YAL063C-A	chrI	-	22396	22687	22396	22687	1	22396,	22687,	Q3E791	Putative protein of unknown function  identified by expression profiling and mass spectrometry	YAL063C-A	291	291
YAL063C	chrI	-	24000	27969	24000	27969	1	24000,	27969,	P39712	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation	FLO9	3969	3969
YAL062W	chrI	+	31567	32941	31567	32941	1	31567,	32941,	P39708	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate  rate of alpha-ketoglutarate utilization differs from Gdh1p  expression regulated by nitrogen and carbon sources	GDH3	1374	1374
