Gene	RegionStart	RegionStop	GeneStart	GeneStop	Feature	FeatureStart	FeatureStop	PeakIntensity
AATF	-20000	127997	0	107997	exon	0	251	0
AATF	-20000	127997	0	107997	exon	107726	107790	0
AATF	-20000	127997	0	107997	exon	107790	107997	0
AATF	-20000	127997	0	107997	exon	1339	1531	0
AATF	-20000	127997	0	107997	exon	251	342	0
AATF	-20000	127997	0	107997	exon	37741	37856	0
AATF	-20000	127997	0	107997	exon	39643	39845	0
AATF	-20000	127997	0	107997	exon	4011	4422	0
AATF	-20000	127997	0	107997	exon	40371	40536	0
AATF	-20000	127997	0	107997	exon	41898	41982	0
AATF	-20000	127997	0	107997	exon	4895	5033	0
AATF	-20000	127997	0	107997	exon	70129	70197	0
AATF	-20000	127997	0	107997	exon	72058	72139	0
AATF	-20000	127997	0	107997	exon	82736	82808	0
ABCG2	-20000	161059	0	141059	exon	0	329	0
ABCG2	-20000	161059	0	141059	exon	100109	100262	0
ABCG2	-20000	161059	0	141059	exon	109530	109688	0
ABCG2	-20000	161059	0	141059	exon	113062	113214	0
ABCG2	-20000	161059	0	141059	exon	116264	116366	0
ABCG2	-20000	161059	0	141059	exon	117769	118020	0
ABCG2	-20000	161059	0	141059	exon	124056	124139	0
ABCG2	-20000	161059	0	141059	exon	130003	130093	0
ABCG2	-20000	161059	0	141059	exon	131874	131999	0
ABCG2	-20000	161059	0	141059	exon	133715	133870	0
ABCG2	-20000	161059	0	141059	exon	135723	135803	0
ABCG2	-20000	161059	0	141059	exon	136663	136746	0
ABCG2	-20000	161059	0	141059	exon	138941	138967	0
ABCG2	-20000	161059	0	141059	exon	138967	141059	0
ABCG2	-20000	161059	0	141059	exon	91308	91327	0
ABCG2	-20000	161059	0	141059	exon	91327	91530	0
ABCG2	-20000	161059	0	141059	exon	98687	98747	0
ABCG2	-20000	161059	0	141059	exon	99405	99520	0
ACE	-20000	57026	0	37026	exon	0	250	0
ACE	-20000	57026	0	37026	exon	11577	11700	0
ACE	-20000	57026	0	37026	exon	11981	12169	0
ACE	-20000	57026	0	37026	exon	1740	1899	0
ACE	-20000	57026	0	37026	exon	2169	2257	0
ACE	-20000	57026	0	37026	exon	22239	22296	0
ACE	-20000	57026	0	37026	exon	22424	22553	0
ACE	-20000	57026	0	37026	exon	22747	22853	0
ACE	-20000	57026	0	37026	exon	23392	23533	0
ACE	-20000	57026	0	37026	exon	23822	24011	0
ACE	-20000	57026	0	37026	exon	24266	24458	0
ACE	-20000	57026	0	37026	exon	24547	24645	0
ACE	-20000	57026	0	37026	exon	24736	24909	0
ACE	-20000	57026	0	37026	exon	25266	25407	0
ACE	-20000	57026	0	37026	exon	25506	25729	0
ACE	-20000	57026	0	37026	exon	25871	26016	0
ACE	-20000	57026	0	37026	exon	28565	28648	0
ACE	-20000	57026	0	37026	exon	29155	29278	0
ACE	-20000	57026	0	37026	exon	34111	34294	0
ACE	-20000	57026	0	37026	exon	34694	35029	0
ACE	-20000	57026	0	37026	exon	35418	35550	0
ACE	-20000	57026	0	37026	exon	36525	36634	0
ACE	-20000	57026	0	37026	exon	36743	37026	0
ACE	-20000	57026	0	37026	exon	3831	3975	0
ACE	-20000	57026	0	37026	exon	4124	4316	0
ACE	-20000	57026	0	37026	exon	419	556	0
ACE	-20000	57026	0	37026	exon	6137	6235	0
ACE	-20000	57026	0	37026	exon	6392	6565	0
ACE	-20000	57026	0	37026	exon	8619	8843	0
ACE	-20000	57026	0	37026	exon	9105	9250	0
ACE	-20000	57026	0	37026	exon	9555	9654	0
ACO1	-20000	86232	0	66232	exon	0	133	0
ACO1	-20000	86232	0	66232	exon	20882	20904	0
ACO1	-20000	86232	0	66232	exon	20904	21001	0
ACO1	-20000	86232	0	66232	exon	22658	22827	0
ACO1	-20000	86232	0	66232	exon	23911	24049	0
ACO1	-20000	86232	0	66232	exon	33525	33595	0
ACO1	-20000	86232	0	66232	exon	33725	33909	0
ACO1	-20000	86232	0	66232	exon	34435	34575	0
ACO1	-20000	86232	0	66232	exon	36253	36425	0
ACO1	-20000	86232	0	66232	exon	38716	38817	0
ACO1	-20000	86232	0	66232	exon	39946	40063	0
ACO1	-20000	86232	0	66232	exon	41235	41395	0
ACO1	-20000	86232	0	66232	exon	42698	42834	0
ACO1	-20000	86232	0	66232	exon	44816	44901	0
ACO1	-20000	86232	0	66232	exon	45815	45972	0
ACO1	-20000	86232	0	66232	exon	47116	47241	0
ACO1	-20000	86232	0	66232	exon	49125	49230	0
ACO1	-20000	86232	0	66232	exon	49956	50099	0
ACO1	-20000	86232	0	66232	exon	51647	51795	0
ACO1	-20000	86232	0	66232	exon	55862	55985	0
ACO1	-20000	86232	0	66232	exon	64293	64479	0
ACO1	-20000	86232	0	66232	exon	65395	65509	0
ACO1	-20000	86232	0	66232	exon	65509	66232	0
ACTB	-20000	23454	0	3454	exon	0	78	0
ACTB	-20000	23454	0	3454	exon	1201	1441	0
ACTB	-20000	23454	0	3454	exon	1882	2321	0
ACTB	-20000	23454	0	3454	exon	2416	2598	0
ACTB	-20000	23454	0	3454	exon	2710	2854	0
ACTB	-20000	23454	0	3454	exon	2854	3454	0
ACTB	-20000	23454	0	3454	exon	938	944	0
ACTB	-20000	23454	0	3454	exon	944	1067	0
ACTC1	-20000	27631	0	7631	exon	0	221	0
ACTC1	-20000	27631	0	7631	exon	2157	2482	0
ACTC1	-20000	27631	0	7631	exon	3157	3319	0
ACTC1	-20000	27631	0	7631	exon	3445	3637	0
ACTC1	-20000	27631	0	7631	exon	4431	4613	0
ACTC1	-20000	27631	0	7631	exon	5171	5315	0
ACTC1	-20000	27631	0	7631	exon	5315	7631	0
ACTC1	-20000	27631	0	7631	exon	896	918	0
ACTC1	-20000	27631	0	7631	exon	918	1047	0
ADAM19	-20000	200290	0	180290	exon	0	221	0
ADAM19	-20000	200290	0	180290	exon	11380	11451	0
ADAM19	-20000	200290	0	180290	exon	177609	177663	0
ADAM19	-20000	200290	0	180290	exon	180144	180258	0
ADAM19	-20000	200290	0	180290	exon	180258	180290	0
ADAM19	-20000	200290	0	180290	exon	37832	37911	0
ADAM19	-20000	200290	0	180290	exon	44940	45017	0
ADAM19	-20000	200290	0	180290	exon	4843	4929	0
ADAM19	-20000	200290	0	180290	exon	55792	55985	0
ADAM19	-20000	200290	0	180290	exon	56935	57001	0
ADAM19	-20000	200290	0	180290	exon	62318	62400	0
ADAM19	-20000	200290	0	180290	exon	66356	66419	0
ADAM19	-20000	200290	0	180290	exon	66419	66523	0
ADAM19	-20000	200290	0	180290	exon	68683	68768	0
ADAM19	-20000	200290	0	180290	exon	70015	70155	0
ADAM19	-20000	200290	0	180290	exon	72843	73021	0
ADAM19	-20000	200290	0	180290	exon	76161	76251	0
ADAM19	-20000	200290	0	180290	exon	78734	78930	0
ADAM19	-20000	200290	0	180290	exon	81028	81137	0
ADAM19	-20000	200290	0	180290	exon	82646	82851	0
ADAM19	-20000	200290	0	180290	exon	83911	83989	0
ADAM19	-20000	200290	0	180290	exon	84100	84209	0
ADAM19	-20000	200290	0	180290	exon	85369	85514	0
ADAM19	-20000	200290	0	180290	exon	86637	86722	0
ADAM19	-20000	200290	0	180290	exon	87334	87559	0
ADAM23	-20000	197487	0	177487	exon	0	223	0
ADAM23	-20000	197487	0	177487	exon	103785	103858	0
ADAM23	-20000	197487	0	177487	exon	104637	104711	0
ADAM23	-20000	197487	0	177487	exon	106451	106517	0
ADAM23	-20000	197487	0	177487	exon	113783	113855	0
ADAM23	-20000	197487	0	177487	exon	116311	116475	0
ADAM23	-20000	197487	0	177487	exon	117484	117569	0
ADAM23	-20000	197487	0	177487	exon	118559	118650	0
ADAM23	-20000	197487	0	177487	exon	121376	121425	0
ADAM23	-20000	197487	0	177487	exon	123579	123679	0
ADAM23	-20000	197487	0	177487	exon	127096	127168	0
ADAM23	-20000	197487	0	177487	exon	128083	128173	0
ADAM23	-20000	197487	0	177487	exon	129471	129552	0
ADAM23	-20000	197487	0	177487	exon	143681	143732	0
ADAM23	-20000	197487	0	177487	exon	144447	144511	0
ADAM23	-20000	197487	0	177487	exon	145765	145871	0
ADAM23	-20000	197487	0	177487	exon	148973	149093	0
ADAM23	-20000	197487	0	177487	exon	151093	151262	0
ADAM23	-20000	197487	0	177487	exon	152407	152519	0
ADAM23	-20000	197487	0	177487	exon	166266	166357	0
ADAM23	-20000	197487	0	177487	exon	1663	1881	0
ADAM23	-20000	197487	0	177487	exon	173935	173984	0
ADAM23	-20000	197487	0	177487	exon	173984	177487	0
ADAM23	-20000	197487	0	177487	exon	223	437	0
ADAM23	-20000	197487	0	177487	exon	37588	37665	0
ADAM23	-20000	197487	0	177487	exon	87241	87305	0
ADAM23	-20000	197487	0	177487	exon	98408	98491	0
ADAM23	-20000	197487	0	177487	exon	99609	99673	0
ADAM9	-20000	128275	0	108275	exon	0	78	0
ADAM9	-20000	128275	0	108275	exon	104877	104945	0
ADAM9	-20000	128275	0	108275	exon	106621	106715	0
ADAM9	-20000	128275	0	108275	exon	106715	108275	0
ADAM9	-20000	128275	0	108275	exon	10900	10998	0
ADAM9	-20000	128275	0	108275	exon	14672	14731	0
ADAM9	-20000	128275	0	108275	exon	16979	17058	0
ADAM9	-20000	128275	0	108275	exon	19132	19209	0
ADAM9	-20000	128275	0	108275	exon	20233	20429	0
ADAM9	-20000	128275	0	108275	exon	21867	21933	0
ADAM9	-20000	128275	0	108275	exon	24657	24729	0
ADAM9	-20000	128275	0	108275	exon	26170	26340	0
ADAM9	-20000	128275	0	108275	exon	28817	28899	0
ADAM9	-20000	128275	0	108275	exon	29691	29825	0
ADAM9	-20000	128275	0	108275	exon	44960	45132	0
ADAM9	-20000	128275	0	108275	exon	57495	57588	0
ADAM9	-20000	128275	0	108275	exon	58591	58787	0
ADAM9	-20000	128275	0	108275	exon	74312	74418	0
ADAM9	-20000	128275	0	108275	exon	78	175	0
ADAM9	-20000	128275	0	108275	exon	80242	80426	0
ADAM9	-20000	128275	0	108275	exon	85655	85736	0
ADAM9	-20000	128275	0	108275	exon	85982	86088	0
ADAM9	-20000	128275	0	108275	exon	93061	93203	0
ADAM9	-20000	128275	0	108275	exon	94273	94361	0
AIM1	-20000	79030	0	59030	exon	0	912	0
AIM1	-20000	79030	0	59030	exon	13703	13751	0
AIM1	-20000	79030	0	59030	exon	13838	13957	0
AIM1	-20000	79030	0	59030	exon	15875	16041	0
AIM1	-20000	79030	0	59030	exon	18746	18886	0
AIM1	-20000	79030	0	59030	exon	27973	28100	0
AIM1	-20000	79030	0	59030	exon	30156	30192	0
AIM1	-20000	79030	0	59030	exon	32010	32168	0
AIM1	-20000	79030	0	59030	exon	33141	33268	0
AIM1	-20000	79030	0	59030	exon	33358	33504	0
AIM1	-20000	79030	0	59030	exon	40422	40549	0
AIM1	-20000	79030	0	59030	exon	40754	40787	0
AIM1	-20000	79030	0	59030	exon	42025	42138	0
AIM1	-20000	79030	0	59030	exon	44338	44468	0
AIM1	-20000	79030	0	59030	exon	47056	47196	0
AIM1	-20000	79030	0	59030	exon	49373	49497	0
AIM1	-20000	79030	0	59030	exon	49912	50071	0
AIM1	-20000	79030	0	59030	exon	52334	52497	0
AIM1	-20000	79030	0	59030	exon	57042	57137	0
AIM1	-20000	79030	0	59030	exon	57137	59030	0
AIM1	-20000	79030	0	59030	exon	7701	10024	0
AIM1	-20000	79030	0	59030	exon	912	1610	0
AK1	-20000	31264	0	11264	exon	0	121	0
AK1	-20000	31264	0	11264	exon	3094	3126	0
AK1	-20000	31264	0	11264	exon	3126	3133	0
AK1	-20000	31264	0	11264	exon	4682	4718	0
AK1	-20000	31264	0	11264	exon	4890	5054	0
AK1	-20000	31264	0	11264	exon	5804	5921	0
AK1	-20000	31264	0	11264	exon	9231	9423	0
AK1	-20000	31264	0	11264	exon	9667	9736	0
AK1	-20000	31264	0	11264	exon	9736	11264	0
ALCAM	-20000	230201	0	210201	exon	0	696	0
ALCAM	-20000	230201	0	210201	exon	153354	153455	0
ALCAM	-20000	230201	0	210201	exon	157576	157796	0
ALCAM	-20000	230201	0	210201	exon	165289	165354	0
ALCAM	-20000	230201	0	210201	exon	166890	166978	0
ALCAM	-20000	230201	0	210201	exon	167950	168133	0
ALCAM	-20000	230201	0	210201	exon	173262	173390	0
ALCAM	-20000	230201	0	210201	exon	174920	175053	0
ALCAM	-20000	230201	0	210201	exon	178510	178623	0
ALCAM	-20000	230201	0	210201	exon	180436	180572	0
ALCAM	-20000	230201	0	210201	exon	180677	180811	0
ALCAM	-20000	230201	0	210201	exon	183414	183547	0
ALCAM	-20000	230201	0	210201	exon	185431	185470	0
ALCAM	-20000	230201	0	210201	exon	185755	185873	0
ALCAM	-20000	230201	0	210201	exon	205139	205227	0
ALCAM	-20000	230201	0	210201	exon	205227	205252	0
ALCAM	-20000	230201	0	210201	exon	207764	210201	0
