Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	CStart	CStop	NumExons
chr1	3204562	3661579	Xkr4	457017	-	NM_001011874	3206102	3661429	3
chr1	4280926	4399322	Rp1	118396	-	NM_001195662	4283061	4399268	4
chr1	4481008	4487435	Sox17	6427	-	NM_011441	4481796	4483487	5
chr1	4763278	4775807	Mrpl15	12529	-	NM_025300	4764532	4775758	5
chr1	4797973	4836816	Lypla1	38843	+	NM_008866	4797994	4835097	9
chr1	4847774	4887990	Tcea1	40216	+	NM_001159750	4847994	4886445	10
chr1	4899656	5060366	Rgs20	160710	-	NM_001177795	4900554	5060258	6
chr1	5073166	5152630	Atp6v1h	79464	+	NM_133826	5074531	5152246	14
chr1	5578573	5596214	Oprk1	17641	+	NM_001204371	5579129	5592865	4
chr1	5903787	5907479	Npbwr1	3692	-	NM_010342	5906384	5907374	1
chr1	6204742	6266185	Rb1cc1	61443	+	NM_009826	6220083	6264356	24
chr1	6349411	6384812	Fam150a	35401	+	NM_001195732	6349411	6381185	5
chr1	6477311	6851021	St18	373710	+	NM_001244692	6758978	6848681	24
chr1	7079000	7163709	Pcmtd1	84709	+	NM_183028	7110389	7159963	6
chr1	8349819	9289958	Sntg1	940139	-	NM_001290390	8353555	8794024	21
chr1	9535488	9537536	Rrs1	2048	+	NM_021511	9535604	9536702	1
chr1	9538126	9568049	Adhfe1	29923	+	NM_175236	9538173	9566355	14
chr1	9550913	9621173	2610203C22Rik	70260	-	NR_015470	9621173	9621173	5
chr1	9591347	9617223	3110035E14Rik	25876	+	NM_178399	9591664	9614977	6
chr1	9657491	9690290	Mybl1	32799	-	NM_008651	9659964	9690035	16
chr1	9708702	9738463	Vcpip1	29761	-	NM_173443	9714562	9738237	3
chr1	9737728	9761337	1700034P13Rik	23609	+	NR_040462	9761337	9761337	4
chr1	9788210	9892649	Sgk3	104439	+	NM_133220	9855333	9888971	18
chr1	9898718	9931035	Mcmdc2	32317	+	NM_177722	9901799	9930625	15
chr1	9932105	9934199	Snhg6	2094	-	NR_024067	9934199	9934199	4
chr1	9932550	9932624	Snord87	74	-	NR_004410	9932624	9932624	1
chr1	9950243	9957566	Tcf24	7323	-	NM_001285425	9953488	9957566	2
chr1	9958702	9999217	Ppp1r42	40515	-	NM_145692	9958900	9993444	9
chr1	10014680	10028240	Cops5	13560	-	NM_001277101	10015059	10028091	8
chr1	10028298	10126849	Cspp1	98551	+	NM_026493	10035166	10126226	30
chr1	10127587	10222751	Arfgef1	95164	-	NM_001102430	10128912	10222575	38
chr1	10314799	10710026	Cpa6	395227	-	NM_177834	10315204	10709808	11
chr1	10983545	11293763	Prex2	310218	+	NM_029525	10983873	11287834	40
chr1	11404185	11965983	A830018L16Rik	561798	+	NM_177173	11404649	11965047	14
chr1	12416066	12416187	Mir6341	121	+	NR_105759	12416187	12416187	1
chr1	12657643	12663171	Gm17644	5528	+	NR_045297	12663171	12663171	3
chr1	12682510	12850453	Sulf1	167943	+	NM_001198565	12776607	12848923	22
chr1	12856630	12981216	Slco5a1	124586	-	NM_172841	12861948	12980576	9
chr1	13103508	13117244	Prdm14	13736	-	NM_001081209	13104340	13115916	8
chr1	13129185	13364164	Ncoa2	234979	-	NM_008678	13132841	13214775	23
chr1	13554773	13579991	Tram1	25218	-	NM_028173	13556403	13579803	11
chr1	13615979	13650590	Lactb2	34611	-	NM_145381	13616941	13650531	7
chr1	13658851	13691804	Xkr9	32953	+	NM_001011873	13662573	13691464	4
chr1	13775765	13777010	Gm5523	1245	-	NR_004447	13777010	13777010	1
chr1	14159038	14300280	Eya1	141242	-	NM_010164	14160996	14292974	18
chr1	14743428	14746047	Msc	2619	-	NM_010827	14744319	14745829	2
chr1	14862728	14908943	Trpa1	46215	-	NM_177781	14863586	14908916	27
chr1	15302532	15704295	Kcnb2	401763	+	NM_001098528	15302532	15701710	2
chr1	15795726	15834133	Terf1	38407	+	NM_009352	15795758	15833163	10
chr1	15843942	15882803	Sbspon	38861	-	NM_001033288	15845825	15882733	5
chr1	16056059	16083406	4930444P10Rik	27347	-	NM_001305227	16056206	16071037	6
chr1	16091375	16094514	Rpl7	3139	-	NM_011291	16091808	16094459	7
chr1	16095962	16122631	Rdh10	26669	+	NM_133832	16096098	16121498	6
chr1	16218890	16509383	Stau2	290493	-	NM_025303	16219853	16476214	14
chr1	16530868	16609419	Ube2w	78551	-	NM_001271016	16531852	16609419	7
chr1	16631805	16647200	Tceb1	15395	-	NM_001310470	16633368	16638039	5
chr1	16647632	16652359	D030040B21Rik	4727	+	NR_037998	16652359	16652359	4
chr1	16655271	16668356	Tmem70	13085	+	NM_026392	16655388	16667506	3
chr1	16678536	16699686	Ly96	21150	+	NM_001159711	16678588	16699618	5
chr1	16985020	17087970	Jph1	102950	-	NM_020604	16987559	17087685	5
chr1	17135453	17154351	Gdap1	18898	+	NM_010267	17135552	17151590	6
chr1	17591981	17621020	Pi15	29039	+	NM_053191	17592659	17615051	6
chr1	17666107	17717727	Gm16070	51620	-	NR_130314	17717727	17717727	7
chr1	17717497	17756288	Crispld1	38791	+	NM_031402	17718737	17754195	15
chr1	18105271	18127132	Crisp4	21861	-	NM_030033	18105709	18127131	7
chr1	18200133	18213645	Defb44-ps	13512	-	NR_002879	18213645	18213645	2
chr1	18226553	18227524	Defb18	971	-	NM_001039123	18226553	18227524	2
chr1	18241058	18255219	Defb41	14161	-	NM_183124	18241280	18255161	2
chr1	18250604	18255219	Gm15386	4615	-	NM_001040027	18250604	18255161	2
chr1	19093102	19156413	Tfap2d	63311	+	NM_153154	19093336	19156259	8
chr1	19198994	19228926	Tfap2b	29932	+	NM_001286340	19199248	19226711	8
chr1	20047859	20608138	Pkhd1	560279	-	NM_153179	20048378	20605404	67
chr1	20346534	20382381	4930486I03Rik	35847	+	NR_045734	20382381	20382381	3
chr1	20659962	20673039	Linc-md1	13077	+	NR_131249	20673039	20673039	3
chr1	20669090	20669163	Mir206	73	+	NR_029593	20669163	20669163	1
chr1	20672849	20672968	Mir133b	119	+	NR_029902	20672968	20672968	1
chr1	20720985	20724577	Il17a	3592	+	NM_010552	20721042	20723940	3
chr1	20767229	20774351	Il17f	7122	-	NM_145856	20767847	20774280	3
chr1	20793094	20810294	Mcm3	17200	-	NM_008563	20793536	20810289	17
chr1	20878730	20880554	6720483E21Rik	1824	-	NR_040492	20880554	20880554	4
chr1	20880702	20928837	Paqr8	48135	+	NM_028829	20924704	20925769	3
chr1	20941706	20980922	Efhc1	39216	+	NM_027974	20941814	20980769	11
chr1	20991477	21069306	Tram2	77829	-	NM_177409	20991642	21069194	11
chr1	21208655	21220248	Tmem14a	11593	+	NM_029398	21215654	21219711	5
chr1	21230665	21255656	Gsta3	24991	+	NM_001077353	21239852	21255043	8
chr1	21275326	21288393	Gm4956	13067	-	NR_002858	21288393	21288393	6
chr1	21339757	21342280	Khdc1a	2523	+	NM_183322	21340100	21341174	3
chr1	21358411	21359824	Khdc1c	1413	+	NM_001033904	21358738	21359808	3
chr1	21373636	21376465	Khdc1b	2829	+	NM_001113187	21374017	21374980	3
chr1	21388479	21952731	Kcnq5	564252	-	NM_001310477	21392243	21951662	13
chr1	22278502	22812563	Rims1	534061	-	NM_053270	22278502	22812563	32
chr1	23107312	23109092	4933415F23Rik	1780	-	NM_025746	23108608	23109070	1
chr1	23279107	23279178	Mir30a	71	+	NR_029533	23279178	23279178	1
chr1	23298539	23298623	Mir30c-2	84	+	NR_029717	23298623	23298623	1
chr1	23373262	23390014	Ogfrl1	16752	-	NM_001081079	23376587	23389890	7
chr1	23768764	23854697	B3gat2	85933	+	NM_172124	23769473	23852026	4
chr1	23852463	23929220	Smap1	76757	-	NM_028534	23853267	23928994	10
chr1	24002777	24012479	Sdhaf4	9702	-	NM_026503	24003089	24012439	3
chr1	24017596	24107180	Fam135a	89584	-	NM_026604	24019130	24092326	21
chr1	24184448	24259577	Col9a1	75129	+	NM_007740	24184693	24258700	38
chr1	24264521	24594276	Col19a1	329755	-	NM_007733	24271528	24582262	51
chr1	24685382	24823146	Lmbrd1	137764	+	NM_026719	24685595	24819581	16
chr1	25124320	25886552	Adgrb3	762232	-	NM_175642	25125012	25883605	31
chr1	25333248	25334799	Gm20172	1551	-	NM_001204913	25333416	25333791	1
chr1	26738645	26744305	4931408C20Rik	5660	-	NM_001033764	26738796	26744271	2
chr1	28832966	28837097	Gm597	4131	-	NM_001013750	28833103	28837043	2
chr1	29478332	29478457	Mir6342	125	+	NR_105760	29478457	29478457	1
chr1	30859186	30920101	Phf3	60915	-	NM_001081080	30860643	30920075	15
chr1	30997147	31006600	Ptp4a1	9453	-	NM_011200	31000050	31002987	6
chr1	30998436	31006555	Gm13363	8119	-	NR_002688	31006555	31006555	7
chr1	31197922	31279501	4931428L18Rik	81579	-	NR_033445	31279501	31279501	3
chr1	31233279	31261570	Lgsn	28291	+	NM_153601	31233295	31261375	5
chr1	31279683	31281132	Pih1d3	1449	+	NM_029062	31279783	31280440	1
chr1	31321691	31324906	Gm4850	3215	+	NR_015347	31324906	31324906	2
