Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	FlyBase	CStart	CStop	NumExons
chr2R	7924802	7926356	128up	1554	+	NM_080485	CG8340	7924927	7926284	4
chr3R	14068252	14076272	14-3-3epsilon	8020	+	NM_169798	CG31196	14068567	14074010	4
chr2R	5987181	5997192	14-3-3zeta	10011	+	NM_206070	n/a	5991852	5995127	7
chr3R	9949884	9951270	140up	1386	-	NM_001275632	n/a	9950226	9951198	4
chrUextra	20872745	21732622	18SrRNA:CR41548	859877	-	NR_133550	n/a	21732622	21732622	4
chrUextra	20872745	21732622	18SrRNA:CR45838	859877	-	NR_133555	n/a	21732622	21732622	4
chrUextra	20872745	21732622	18SrRNA:CR45841	859877	-	NR_133559	n/a	21732622	21732622	4
chr2R	15999015	16004437	18w	5422	+	NM_057466	CG8896	15999389	16003547	1
chr3L	13987330	13989671	26-29-p	2341	+	NM_138985	CG8947	13987451	13989570	3
chrUextra	18898011	20461839	28SrRNA:CR45837	1563828	+	NR_133553	n/a	20461839	20461839	7
chrUextra	9886586	12346492	28SrRNA:CR45844	2459906	+	NR_133562	n/a	12346492	12346492	9
chrU	3924014	3924044	2SrRNA:CR45836	30	-	NR_133552	n/a	3924044	3924044	1
chrU	3924014	3924044	2SrRNA:CR45840	30	-	NR_133557	n/a	3924044	3924044	1
chrU	3924014	3924044	2SrRNA:CR45843	30	-	NR_133561	n/a	3924044	3924044	1
chrU	3924014	3924044	2SrRNA:CR45864	30	-	NR_133545	n/a	3924044	3924044	1
chr3R	8947672	8981409	2mit	33737	-	NM_001275600	n/a	8951790	8958057	4
chr3L	1351115	1352853	312	1738	+	NM_138261	CG9166	1351185	1352031	3
chr4	972167	979018	4E-T	6851	-	NM_166797	CG32016	972464	978657	9
chr3R	19888798	19934682	4EHP	45884	-	NM_176552	CG33100	19889528	19934229	4
chr2R	14954659	15009463	5-HT1A	54804	+	NM_166322	CG16720	14978028	15006965	11
chr2R	14909829	14920147	5-HT1B	10318	-	NM_001144236	n/a	14911053	14916441	9
chr3R	438591	459026	5-HT2A	20435	+	NM_001104214	n/a	448301	458649	8
chr3R	4403926	4455718	5-HT2B	51792	+	NM_001300309	n/a	4417209	4452743	7
chr3R	26793957	26842597	5-HT7	48640	-	NM_001276202	n/a	26795605	26797300	3
chrUextra	9982949	9983073	5.8SrRNA:CR40454	124	-	NR_133544	n/a	9983073	9983073	1
chrU	6962015	6962138	5.8SrRNA:CR45839	123	+	NR_133556	n/a	6962138	6962138	1
chrU	6962015	6962138	5.8SrRNA:CR45842	123	+	NR_133560	n/a	6962138	6962138	1
chrU	6962015	6962138	5.8SrRNA:CR45852	123	+	NR_133551	n/a	6962138	6962138	1
chr3R	20866148	20870873	5PtaseI	4725	-	NM_001144637	n/a	20866322	20870771	9
chr3R	1202501	1203697	7B2	1196	+	NM_001014608	CG1168	1202653	1203532	2
chr3R	2645854	2646153	7SLRNA:CR32864	299	-	NR_001992	n/a	2646153	2646153	1
chr3R	2645854	2646153	7SLRNA:CR42652	299	-	NR_037753	n/a	2646153	2646153	1
chr3L	19464755	19465328	825-Oak	573	-	NM_168796	CG32208	19464828	19465277	2
chr2L	13019574	13021312	A16	1738	-	NM_135754	CG9933	13019675	13021178	3
chr3L	10474511	10586503	A2bp1	111992	+	NM_001259778	n/a	10499600	10583665	17
chr2L	6255858	6256822	AANATL2	964	+	NM_001298738	n/a	6255875	6256526	1
chr3L	1618413	1623413	ABCB7	5000	+	NM_167902	n/a	1618500	1622989	6
chr2R	3861619	3879367	ACC	17748	-	NM_001299249	n/a	3861991	3872639	13
chr2L	12921090	12925453	ACXA	4363	+	NM_001298954	n/a	12921113	12922759	12
chr2L	12916813	12921008	ACXB	4195	+	NM_138989	CG17174	12916915	12920898	12
chr2L	12912529	12916774	ACXC	4245	+	NM_135749	CG5983	12912588	12916721	12
chr3L	2237607	2243719	ACXD	6112	+	NM_001274391	n/a	2238427	2241109	12
chr2L	12925610	12929823	ACXE	4213	+	NM_144344	CG17178	12925618	12929755	12
chr2R	7858190	7865226	ADD1	7036	+	NM_165856	CG8290	7858486	7864581	4
chr2R	9058905	9062301	AGBE	3396	+	NM_176162	CG33138	9059024	9062156	4
chr2R	9830891	9845594	AGO1	14703	-	NM_001259385	n/a	9835476	9842312	8
chr3L	15547212	15554142	AGO2	6930	+	NM_140518	CG7439	15547306	15553831	8
chr3L	23547692	23682740	AGO3	135048	+	NM_001043164	CG40300	23559941	23682671	8
chr2L	2151753	2155389	AIF	3636	+	NM_001272978	n/a	2152034	2154897	7
chr3R	23522187	23525832	ALiX	3645	-	NM_143325	CG12876	23522437	23525701	6
chrX	1269568	1272929	AMPKalpha	3361	+	NM_206604	n/a	1269941	1272198	3
chrX	13724773	13739899	AMPdeam	15126	-	NM_001258730	n/a	13728674	13739508	9
chr3R	11357858	11363014	AOX1	5156	-	NM_142218	CG18522	11358047	11362797	6
chr3R	11363434	11368136	AOX2	4702	-	NM_169665	CG18519	11363564	11368111	6
chr3R	11368469	11373910	AOX3	5441	-	NM_001316510	n/a	11368591	11373116	9
chr3R	11374349	11378555	AOX4	4206	-	NM_142221	CG18516	11374349	11378494	7
chrX	19625036	19628614	AP-1-2beta	3578	+	NM_078691	CG12532	19625432	19628263	3
chrX	9002723	9011772	AP-1gamma	9049	+	NM_176718	CG9113	9002963	9010295	15
chr3R	5383433	5385247	AP-1mu	1814	-	NM_141649	CG9388	5383631	5384971	2
chr3R	19784372	19788277	AP-1sigma	3905	+	NM_142941	CG5864	19784517	19787817	5
chr2L	408029	414777	AP-2alpha	6748	-	NM_057471	CG4260	409387	413459	9
chr3R	18288176	18290325	AP-2mu	2149	+	NM_001170215	n/a	18288324	18289762	4
chr3R	17094930	17095797	AP-2sigma	867	-	NM_142704	CG6056	17095130	17095675	3
chr2R	13404765	13405691	APC10	926	-	NM_137379	CG11419	13404967	13405614	2
chrX	8976963	8979900	APC4	2937	+	NM_132294	CG32707	8977086	8979734	6
chrX	6491120	6493732	APC7	2612	+	NM_132101	CG14444	6491126	6493344	5
chr3L	11091511	11093678	APP-BP1	2167	+	NM_140178	CG7828	11091784	11093659	6
chr2R	9099909	9102001	AQP	2092	-	NM_001169669	n/a	9100228	9101433	4
chr3LHet	41053	42672	ARY	1619	+	NM_001015363	CG40064	41103	42485	5
chr2R	17105360	17138655	ASPP	33295	-	NM_001274193	n/a	17106376	17126378	8
chrX	11749054	11758787	ATP7	9733	+	NM_001272537	n/a	11749384	11757725	4
chr3R	7894096	7916334	ATP8B	22238	-	NM_001300366	n/a	7895304	7908330	20
chr2R	11881035	11888795	ATPCL	7760	-	NM_001144202	n/a	11881732	11887468	9
chr3L	9723098	9724324	ATPsynB	1226	+	NM_079287	CG8189	9723167	9724207	3
chr3R	27041866	27045352	ATPsynC	3486	-	NM_143595	CG1746	27042735	27044712	4
chr3R	19180941	19181786	ATPsynCF6	845	-	NM_001275944	n/a	19181122	19181507	3
chr3L	5011443	5012133	ATPsynCF6L	690	-	NM_139685	CG12027	5011596	5012095	2
chr3R	14920721	14921993	ATPsynD	1272	+	NM_001300472	n/a	14921130	14921667	2
chr3R	10152668	10153457	ATPsynE	789	+	NM_001202292	n/a	10153012	10153258	2
chr2R	20486610	20487344	ATPsynF	734	-	NM_138096	CG4692	20486775	20487218	3
chr2L	10975521	10976399	ATPsynG	878	-	NM_001042889	CG6105	10975901	10976290	3
chr2L	7747274	7747874	ATPsynGL	600	+	NM_135298	CG7211	7747380	7747757	2
chr3R	11091312	11092412	ATPsynO	1100	+	NM_079634	CG4307	11091382	11092310	3
chr4	1052109	1055183	ATPsynbeta	3074	+	NM_001272152	n/a	1052515	1055039	4
chr3L	16090933	16093188	ATPsynbetaL	2255	+	NM_140579	CG5389	16091003	16093091	3
chrX	10107002	10111426	ATPsyndelta	4424	+	NM_001298145	n/a	10107319	10108194	4
chr3R	5947494	5948042	ATPsynepsilonL	548	+	NM_001275520	n/a	5947747	5947942	3
chr3R	25573436	25574885	ATPsyngamma	1449	-	NM_170425	CG7610	25573575	25574469	2
chrXHet	84820	87149	ATbp	2329	+	NM_001111011	CG17172	84921	86148	2
chr2L	17474911	17477888	Aac11	2977	-	NM_058106	CG6582	17475587	17477717	7
chr2L	6717624	6719389	Aatf	1765	+	NM_135222	CG11188	6717710	6719239	2
chr2L	8378261	8381764	Aats-ala	3503	-	NM_078787	CG13391	8378418	8381442	3
chr3L	5139197	5142952	Aats-ala-m	3755	+	NM_079208	CG4633	5139294	5142855	10
chrX	15735801	15738178	Aats-arg	2377	-	NM_132853	CG9020	15735874	15738114	5
chr2L	19129468	19131954	Aats-asn	2486	-	NM_001273632	n/a	19130042	19131830	2
chr2R	8764508	8770673	Aats-asp	6165	+	NM_001274002	n/a	8768294	8770410	6
chr2R	12030651	12033411	Aats-cys	2760	+	NM_137243	CG8431	12030740	12033273	6
chr3R	21088988	21091443	Aats-gln	2455	-	NM_080102	CG10506	21089059	21091396	1
chr3R	19777857	19784113	Aats-glupro	6256	-	NM_079747	CG5394	19778011	19784007	6
chr3L	15088241	15090786	Aats-gly	2545	+	NM_001274938	n/a	15088361	15090659	2
chrX	18409460	18414478	Aats-his	5018	+	NM_001272757	n/a	18411583	18414231	6
chr3L	22281764	22285910	Aats-ile	4146	+	NM_176387	n/a	22281896	22285833	6
chr3L	4825852	4829038	Aats-leu	3186	+	NM_139675	CG7479	4825952	4828728	4
chrX	9500395	9502917	Aats-lys	2522	-	NM_132345	CG12141	9500505	9502783	4
chr3R	10074764	10085713	Aats-met-m	10949	-	NM_001316578	n/a	10077245	10085629	6
chr2R	9855812	9857407	Aats-phe-m	1595	+	NM_057935	CG13348	9855913	9857344	2
chr3L	2650160	2651850	Aats-pro	1690	-	NM_001274408	n/a	2651261	2651748	4
chr3R	11166388	11168940	Aats-ser	2552	+	NM_001275670	n/a	11166557	11167811	1
chr2L	12103750	12107170	Aats-thr	3420	+	NM_001298939	n/a	12103894	12106762	4
chr3R	5090748	5092626	Aats-trp	1878	-	NM_080087	CG9735	5091025	5092513	4
chr3L	16410448	16412402	Aats-tyr	1954	-	NM_140638	CG4561	16410582	16412343	4
chr2R	20669248	20671023	Aats-tyr-m	1775	-	NM_138123	CG16912	20669322	20670952	5
chr2R	9086354	9090214	Aats-val	3860	+	NM_001274017	n/a	9086503	9090099	7
chr3R	12752933	12797958	Abd-B	45025	-	NM_206498	CG11648	12755110	12757327	7
chr3R	9944983	9948142	Abi	3159	-	NM_001260162	n/a	9945786	9947823	7
chr3L	16608965	16640982	Abl	32017	-	NM_001104153	CG4032	16615873	16640243	9
chr3L	13476632	13479380	Abp1	2748	-	NM_140400	CG10083	13477113	13478957	5
chrX	15405269	15448311	Ac13E	43042	-	NM_001272646	n/a	15406772	15433447	6
chr2L	21632586	21647964	Ac3	15378	+	NM_136272	CG1506	21633626	21646825	19
chr3L	19932386	19971060	Ac76E	38674	+	NM_001259909	n/a	19942521	19970095	21
chr3L	21129546	21165030	Ac78C	35484	-	NM_001275209	n/a	21130179	21153781	24
chr3L	21263821	21273343	AcCoAS	9522	-	NM_168894	CG9390	21264804	21272885	6
chr3R	21637632	21638856	Acam	1224	+	NM_001170266	n/a	21638365	21638812	1
chr3R	9048672	9084499	Ace	35827	-	NM_001275601	n/a	9049026	9071854	10
chr2L	8521932	8525740	Acer	3808	+	NM_001273329	n/a	8522277	8524780	4
chr3R	27619702	27625521	Acf	5819	+	NM_080486	CG1966	27620089	27625260	6
chr3L	4108185	4114157	Ack	5972	+	NM_139602	CG14992	4110500	4113787	3
chr2R	9030338	9040182	Ack-like	9844	-	NM_057739	CG3969	9030630	9040127	8
chr2L	19045354	19048817	Acn	3463	+	NM_001273627	n/a	19045566	19048096	5
chr2L	21168569	21173184	Acon	4615	+	NM_001299190	n/a	21168771	21172648	4
chr2R	17276909	17279944	Acox57D-d	3035	+	NM_079079	CG9709	17277003	17279820	8
chr2R	17273813	17276781	Acox57D-p	2968	+	NM_079078	CG9707	17274186	17276636	7
chr2L	7740561	7741537	Acp1	976	-	NM_057767	CG7216	7740955	7741481	2
chr2L	3693183	3693905	Acp24A4	722	-	NM_001258928	n/a	3693554	3693860	2
chr2L	5892882	5893896	Acp26Aa	1014	-	NM_057296	CG8982	5893020	5893871	2
chr2L	5892297	5892862	Acp26Ab	565	-	NM_134272	CG9024	5892503	5892837	2
chr2L	8392455	8393222	Acp29AB	767	-	NM_078788	CG17797	8392506	8393211	1
chr2L	11015619	11016571	Acp32CD	952	+	NM_001298900	n/a	11015644	11016403	2
chr2L	11591338	11591678	Acp33A	340	-	NM_078826	CG15841	11591524	11591668	1
chr2L	18356046	18359026	Acp36DE	2980	-	NM_001299111	n/a	18356224	18359022	2
chr2R	12635338	12636095	Acp53C14a	757	-	NM_001299572	n/a	12635634	12636052	2
chr2R	12636319	12636965	Acp53C14b	646	-	NM_001299573	n/a	12636471	12636926	2
chr2R	12638280	12639000	Acp53C14c	720	-	NM_001014532	CG33530	12638307	12638739	3
chr2R	12637307	12637840	Acp53Ea	533	-	NM_057803	CG8622	12637360	12637788	2
chr2R	13020949	13021255	Acp54A1	306	+	NM_001043089	CG34098	13021027	13021168	1
chr3L	2739749	2740228	Acp62F	479	+	NM_079168	CG1262	2739772	2740120	1
chr3L	3815838	3816354	Acp63F	516	-	NM_079182	CG10852	3815984	3816345	3
chr3L	6145149	6145845	Acp65Aa	696	-	NM_057934	CG10297	6145380	6145779	2
chr3L	19043856	19045126	Acp76A	1270	-	NM_001259902	n/a	19043890	19045126	2
chr3R	20054696	20055001	Acp95EF	305	+	NM_080159	CG17924	20054713	20054934	2
chr3R	23520604	23520779	Acp98AB	175	+	NM_001276097	n/a	23520616	23520694	1
chr3R	25816865	25819133	Acph-1	2268	-	NM_080178	CG7899	25817305	25818866	6
chr2R	4553317	4570527	Acsl	17210	+	NM_001014511	CG8732	4562353	4569110	11
chr2R	1901414	1903194	Act42A	1780	-	NM_078901	CG12051	1901774	1902905	2
chr2R	16831525	16833936	Act57B	2411	+	NM_079076	CG10067	16831621	16833439	2
chrX	5794893	5799432	Act5C	4539	+	NM_001297986	n/a	5796730	5797861	2
chr3L	21978309	21980290	Act79B	1981	+	NM_079486	CG7478	21978450	21979943	3
chr3R	9251704	9254097	Act87E	2393	+	NM_001300385	n/a	9252325	9253456	2
chr3R	11265690	11267899	Act88F	2209	+	NM_079643	CG5178	11266337	11267529	3
chr4	1097956	1105422	Actbeta	7466	-	NM_143685	CG11062	1098512	1103752	6
chrX	1917854	1936344	Actn	18490	-	NM_058137	CG4376	1919573	1929101	10
chr3R	12801606	12803517	Actn3	1911	-	NM_080062	CG8953	12801624	12803341	2
chr2L	13912082	13912652	Acyp	570	+	NM_001298987	n/a	13912200	13912563	1
chr3R	11618409	11619209	Acyp2	800	+	NM_001275683	n/a	11618556	11619046	4
chr3R	12844501	12846842	AdSL	2341	-	NM_142329	CG3590	12845270	12846716	1
chr3R	16650388	16656302	AdSS	5914	-	NM_142661	CG17273	16650861	16656168	5
chr3R	4890904	4892025	Ada	1121	+	NM_141609	CG11994	4890960	4891974	1
chr2L	11996808	11997965	Ada1-1	1157	+	NM_164984	CG31865	11996903	11997894	2
chr2L	11992901	11994054	Ada1-2	1153	+	NM_164980	CG31866	11992992	11993983	2
chr3R	14078564	14081209	Ada2a	2645	-	NM_001014637	CG33520	14079275	14081102	5
chr3R	4062353	4066237	Ada2b	3884	-	NM_001275438	n/a	4063640	4066145	4
chrX	17979793	17982451	Ada3	2658	+	NM_001272738	n/a	17979944	17981711	1
chr2R	5856433	5858402	Adam	1969	+	NM_136697	CG12131	5856724	5858041	6
chr3R	11267967	11301915	AdamTS-A	33948	-	NM_206496	CG14869	11268960	11301010	17
chrX	1667757	1682098	Adar	14341	+	NM_001297862	n/a	1669735	1677787	12
chr2L	13808359	13811474	Adat1	3115	-	NM_135832	CG16889	13810208	13811450	3
chr2R	20499225	20501429	Adck	2204	+	NM_138103	CG3608	20499697	20501378	4
chr3L	13012814	13015788	AdenoK	2974	-	NM_001300125	n/a	13013389	13015554	3
chr2R	2549769	2555590	Adf1	5821	+	NM_001273801	n/a	2550099	2554945	4
chr3L	17744830	17757258	Adgf-A	12428	-	NM_206397	n/a	17745552	17747418	4
chr3L	17748035	17757258	Adgf-A2	9223	-	NM_001043148	CG32178	17748067	17749883	4
chr3L	17741932	17743688	Adgf-B	1756	-	NM_140749	CG5998	17741968	17743593	2
chr3R	9532478	9534851	Adgf-C	2373	+	NM_142051	CG9345	9532655	9534812	6
chr3R	9528805	9531124	Adgf-D	2319	-	NM_079621	CG9621	9528834	9531049	6
chr2R	10544302	10546260	Adgf-E	1958	-	NM_137133	CG10143	10544383	10546170	2
chr2L	14615551	14618902	Adh	3351	+	NM_001032098	n/a	14616338	14617244	6
chr2L	14615551	14618902	Adhr	3351	+	NM_058147	CG3481	14617547	14618843	6
chr3L	10656475	10657535	Adi1	1060	+	NM_001104107	CG32068	10656545	10657465	5
chr3R	18369414	18373568	AdipoR	4154	-	NM_142804	CG5315	18370144	18372799	7
chr3L	12193421	12197182	Adk1	3761	-	NM_168493	CG17146	12193636	12196821	5
chr2R	19911729	19913400	Adk2	1671	+	NM_079112	CG3140	19911841	19913170	4
chr3R	6713066	6715310	Adk3	2244	-	NM_001300350	n/a	6713381	6714032	2
chr3R	25960577	25975328	AdoR	14751	-	NM_001276172	n/a	25960996	25964247	5
chr2R	3130528	3133281	Ady43A	2753	-	NM_143738	CG1851	3131155	3132806	3
chr3L	21426527	21431739	Aef1	5212	+	NM_168903	CG5683	21428319	21429309	3
chr3R	10145912	10152411	Afti	6499	-	NM_001260173	n/a	10147507	10152003	4
chrX	14678696	14680584	Ag5r	1888	-	NM_001272618	n/a	14679344	14680243	2
chrX	14676994	14678085	Ag5r2	1091	-	NM_079950	CG9540	14677032	14678039	2
