Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	CStart	CStop	NumExons
chr1	11873	14409	DDX11L1	2536	+	NR_046018	14409	14409	3
chr1	14361	29370	WASH7P	15009	-	NR_024540	29370	29370	11
chr1	17368	17436	MIR6859-1	68	-	NR_106918	17436	17436	1
chr1	17368	17436	MIR6859-2	68	-	NR_107062	17436	17436	1
chr1	17368	17436	MIR6859-3	68	-	NR_107063	17436	17436	1
chr1	17368	17436	MIR6859-4	68	-	NR_128720	17436	17436	1
chr1	30365	30503	MIR1302-2	138	+	NR_036051	30503	30503	1
chr1	30365	30503	MIR1302-9	138	+	NR_036266	30503	30503	1
chr1	30365	30503	MIR1302-10	138	+	NR_036267	30503	30503	1
chr1	30365	30503	MIR1302-11	138	+	NR_036268	30503	30503	1
chr1	34610	36081	FAM138A	1471	-	NR_026818	36081	36081	3
chr1	34610	36081	FAM138F	1471	-	NR_026820	36081	36081	3
chr1	69090	70008	OR4F5	918	+	NM_001005484	69090	70008	1
chr1	134772	140566	LOC729737	5794	-	NR_039983	140566	140566	3
chr1	323891	328581	LOC100132062	4690	+	NR_028325	328581	328581	3
chr1	323891	328581	LOC100132287	4690	+	NR_028322	328581	328581	3
chr1	323891	328581	LOC100133331	4690	+	NR_028327	328581	328581	4
chr1	367658	368597	OR4F3	939	+	NM_001005224	367658	368597	1
chr1	367658	368597	OR4F16	939	+	NM_001005277	367658	368597	1
chr1	367658	368597	OR4F29	939	+	NM_001005221	367658	368597	1
chr1	562759	564389	LOC101928626	1630	-	NR_125957	564389	564389	3
chr1	567704	567793	MIR6723	89	-	NR_106781	567793	567793	1
chr1	700244	714068	LOC100288069	13824	-	NR_033908	714068	714068	7
chr1	752750	755214	FAM87B	2464	+	NR_103536	755214	755214	2
chr1	761585	762902	LINC00115	1317	-	NR_024321	762902	762902	1
chr1	762970	794826	LINC01128	31856	+	NR_047519	794826	794826	6
chr1	803450	812182	FAM41C	8732	-	NR_027055	812182	812182	3
chr1	852197	855072	LOC100130417	2875	-	NR_122045	855072	855072	4
chr1	861120	879961	SAMD11	18841	+	NM_152486	861321	879533	14
chr1	879582	894679	NOC2L	15097	-	NM_015658	880073	894620	19
chr1	895966	901099	KLHL17	5133	+	NM_198317	896073	900571	12
chr1	901876	910484	PLEKHN1	8608	+	NM_032129	901911	909955	16
chr1	910578	917497	PERM1	6919	-	NM_001291367	911551	917497	5
chr1	934341	935552	HES4	1211	-	NM_021170	934438	935353	4
chr1	948846	949919	ISG15	1073	+	NM_005101	948953	949858	2
chr1	955502	991499	AGRN	35997	+	NM_001305275	955552	990361	38
chr1	1007125	1009687	RNF223	2562	-	NM_001205252	1007196	1007946	2
chr1	1017197	1051736	C1orf159	34539	-	NM_017891	1018272	1026923	10
chr1	1072396	1079434	LINC01342	7038	+	NR_038869	1079434	1079434	3
chr1	1102483	1102578	MIR200B	95	+	NR_029639	1102578	1102578	1
chr1	1103242	1103332	MIR200A	90	+	NR_029834	1103332	1103332	1
chr1	1104384	1104467	MIR429	83	+	NR_029957	1104467	1104467	1
chr1	1109285	1133313	TTLL10	24028	+	NM_001130045	1114595	1133227	16
chr1	1138887	1142089	TNFRSF18	3202	-	NM_004195	1139223	1141951	5
chr1	1146705	1149548	TNFRSF4	2843	-	NM_003327	1146934	1149507	7
chr1	1152287	1167447	SDF4	15160	-	NM_016547	1153049	1164173	7
chr1	1167628	1170420	B3GALT6	2792	+	NM_080605	1167658	1168648	1
chr1	1177825	1182102	FAM132A	4277	-	NM_001014980	1177927	1182070	8
chr1	1189291	1209234	UBE2J2	19943	-	NM_194315	1190582	1203372	8
chr1	1215815	1227409	SCNN1D	11594	+	NM_001130413	1216041	1226990	18
chr1	1227763	1243269	ACAP3	15506	-	NM_030649	1228943	1243195	24
chr1	1231489	1231550	MIR6726	61	-	NR_106784	1231550	1231550	1
chr1	1243993	1247057	PUSL1	3064	+	NM_153339	1244023	1246759	8
chr1	1246964	1260067	CPSF3L	13103	-	NM_001256456	1247238	1257333	19
chr1	1247881	1247946	MIR6727	65	-	NR_106785	1247946	1247946	1
chr1	1260142	1264276	CPTP	4134	+	NM_001029885	1262290	1263143	3
chr1	1266725	1270700	TAS1R3	3975	+	NM_152228	1266725	1269844	6
chr1	1270657	1284492	DVL1	13835	-	NM_004421	1271521	1284445	15
chr1	1275029	1275088	MIR6808	59	-	NR_106866	1275088	1275088	1
chr1	1288068	1298921	MXRA8	10853	-	NM_001282582	1288983	1293884	11
chr1	1309109	1310818	AURKAIP1	1709	-	NM_017900	1309180	1310136	4
chr1	1321090	1334718	CCNL2	13628	-	NM_030937	1322610	1334686	11
chr1	1334909	1337426	LOC148413	2517	+	NR_015434	1337426	1337426	3
chr1	1337275	1342693	MRPL20	5418	-	NM_017971	1337462	1342597	4
chr1	1353799	1356824	ANKRD65	3025	-	NM_001145210	1354479	1356385	4
chr1	1361507	1363167	TMEM88B	1660	+	NM_001146685	1361507	1363167	2
chr1	1365536	1369953	LOC102724312	4417	-	NR_125994	1369953	1369953	2
chr1	1370902	1378262	VWA1	7360	+	NM_199121	1371128	1372823	3
chr1	1385068	1405538	ATAD3C	20470	+	NM_001039211	1386063	1403910	12
chr1	1407134	1431584	ATAD3B	24450	+	NM_031921	1407264	1431197	16
chr1	1447522	1470067	ATAD3A	22545	+	NM_018188	1447648	1469452	16
chr1	1470157	1475740	TMEM240	5583	-	NM_001114748	1470738	1475726	4
chr1	1477052	1510262	SSU72	33210	-	NM_014188	1477445	1509937	5
chr1	1533387	1535476	C1orf233	2089	-	NM_001242659	1534714	1535395	1
chr1	1550794	1565990	MIB2	15196	+	NM_001170687	1550839	1565910	20
chr1	1567559	1570030	MMP23B	2471	+	NM_006983	1567597	1570001	8
chr1	1570602	1655859	CDK11B	85257	-	NM_033489	1571125	1654035	21
chr1	1592938	1624243	SLC35E2B	31305	-	NM_001290264	1597220	1608138	10
chr1	1631377	1633247	MMP23A	1870	+	NR_002946	1633247	1633247	6
chr1	1633822	1656004	CDK11A	22182	-	NM_001313896	1634345	1654257	20
chr1	1656276	1677438	SLC35E2	21162	-	NM_001199787	1656852	1670996	7
chr1	1682670	1711508	NADK	28838	-	NM_001198994	1684342	1696845	14
chr1	1716723	1822556	GNB1	105833	-	NM_002074	1718769	1756892	12
chr1	1846265	1848733	CALML6	2468	+	NM_138705	1846719	1848632	6
chr1	1849028	1850740	TMEM52	1712	-	NM_178545	1849320	1850704	5
chr1	1853389	1935276	CFAP74	81887	-	NM_001304360	1853725	1922395	39
chr1	1950767	1962192	GABRD	11425	+	NM_000815	1950862	1961721	9
chr1	1981908	2116834	PRKCZ	134926	+	NM_002744	1982069	2116448	18
chr1	2115898	2139172	FAAP20	23274	-	NM_001146310	2116716	2132537	8
chr1	2160133	2241652	SKI	81519	+	NM_003036	2160205	2238204	7
chr1	2252691	2323190	MORN1	70499	-	NM_024848	2252821	2322972	14
chr1	2281852	2284100	LOC100129534	2248	-	NR_024489	2284100	2284100	1
chr1	2323213	2336885	RER1	13672	+	NM_007033	2327229	2334563	7
chr1	2336240	2344010	PEX10	7770	-	NM_153818	2337204	2343941	6
chr1	2398897	2436969	PLCH2	38072	+	NM_001303012	2399058	2435066	22
chr1	2439969	2458067	PANK4	18098	-	NM_018216	2440285	2458050	19
chr1	2460183	2461684	HES5	1501	-	NM_001010926	2460907	2461603	3
chr1	2481358	2488450	LOC115110	7092	-	NR_037844	2488450	2488450	7
chr1	2487803	2497061	TNFRSF14	9258	+	NM_003820	2488103	2494712	8
chr1	2497973	2515973	LOC100996583	18000	+	NR_121638	2515973	2515973	4
chr1	2517898	2522908	FAM213B	5010	+	NR_036638	2522908	2522908	7
chr1	2522080	2564481	MMEL1	42401	-	NM_033467	2522428	2560923	24
chr1	2572806	2706230	TTC34	133424	-	NM_001242672	2572806	2706156	7
chr1	2938045	2939467	ACTRT2	1422	+	NM_080431	2938250	2939384	1
chr1	2976180	2984289	LINC00982	8109	-	NR_015440	2984289	2984289	6
chr1	2985741	3355185	PRDM16	369444	+	NM_199454	2985823	3350375	17
chr1	3044538	3044599	MIR4251	61	+	NR_036215	3044599	3044599	1
chr1	3371146	3397677	ARHGEF16	26531	+	NM_014448	3379648	3397151	15
chr1	3404505	3528059	MEGF6	123554	-	NM_001409	3407091	3527832	37
chr1	3477259	3477354	MIR551A	95	-	NR_030277	3477354	3477354	1
chr1	3541555	3546694	TPRG1L	5139	+	NM_182752	3541636	3545167	5
chr1	3547330	3566671	WRAP73	19341	-	NM_017818	3547538	3566563	12
chr1	3569128	3652765	TP73	83637	+	NM_005427	3598929	3649643	14
chr1	3652547	3663937	TP73-AS1	11390	-	NR_033710	3663937	3663937	6
chr1	3668964	3688209	CCDC27	19245	+	NM_152492	3669045	3688087	12
chr1	3689324	3692546	SMIM1	3222	+	NM_001288583	3691937	3692485	4
chr1	3696783	3713068	LRRC47	16285	-	NM_020710	3697651	3713040	7
chr1	3728644	3773797	CEP104	45153	-	NM_014704	3731965	3768971	22
chr1	3773830	3801993	DFFB	28163	+	NR_104222	3801993	3801993	8
chr1	3805696	3816857	C1orf174	11161	-	NM_207356	3806523	3816750	4
chr1	3816967	3832011	LINC01134	15044	+	NR_024455	3832011	3832011	4
chr1	4000671	4012643	LINC01346	11972	+	NR_040065	4012643	4012643	3
chr1	4472110	4484744	LOC284661	12634	+	NR_027088	4484744	4484744	6
chr1	4715104	4843851	AJAP1	128747	+	NM_018836	4715485	4834559	6
chr1	5624130	5624203	MIR4417	73	+	NR_039612	5624203	5624203	1
chr1	5922731	5922801	MIR4689	70	-	NR_039838	5922801	5922801	1
chr1	5922867	6052533	NPHP4	129666	-	NR_111987	6052533	6052533	33
chr1	6052357	6161253	KCNAB2	108896	+	NM_001199861	6100628	6158634	16
chr1	6161846	6240194	CHD5	78348	-	NM_015557	6166339	6240083	42
chr1	6245079	6259679	RPL22	14600	-	NM_000983	6246731	6259633	4
chr1	6264899	6265840	LOC102724450	941	-	NR_125997	6265840	6265840	3
chr1	6266188	6281359	RNF207	15171	+	NM_207396	6266595	6279467	18
chr1	6281252	6296044	ICMT	14792	-	NM_012405	6285139	6295971	5
chr1	6296299	6299502	LINC00337	3203	+	NR_103534	6299502	6299502	5
chr1	6304251	6305638	HES3	1387	+	NM_001024598	6304425	6305567	4
chr1	6307405	6321035	GPR153	13630	-	NM_207370	6309397	6314965	6
chr1	6324331	6453826	ACOT7	129495	-	NM_007274	6324656	6453459	9
chr1	6475293	6479979	HES2	4686	-	NM_019089	6478932	6479880	4
chr1	6484847	6521004	ESPN	36157	+	NM_031475	6485015	6520206	13
chr1	6489893	6489956	MIR4252	63	-	NR_036218	6489956	6489956	1
chr1	6521213	6526255	TNFRSF25	5042	-	NM_003790	6521493	6526167	10
chr1	6526151	6580121	PLEKHG5	53970	-	NM_198681	6527622	6579571	22
chr1	6581406	6614658	NOL9	33252	-	NM_024654	6585913	6614562	12
chr1	6615337	6639817	TAS1R1	24480	+	NM_138697	6615433	6639644	6
chr1	6640050	6649340	ZBTB48	9290	+	NM_005341	6640669	6649272	11
chr1	6650783	6662958	KLHL21	12175	-	NM_014851	6653424	6662877	4
chr1	6673755	6684093	PHF13	10338	+	NM_153812	6674126	6681697	4
chr1	6685209	6695646	THAP3	10437	+	NM_138350	6685278	6694148	5
chr1	6694227	6761966	DNAJC11	67739	-	NM_018198	6695734	6761860	16
chr1	6784804	6790072	LOC100505887	5268	+	NR_104620	6790072	6790072	2
chr1	6845383	7829766	CAMTA1	984383	+	NM_015215	6845590	7826551	23
chr1	7831328	7841492	VAMP3	10164	+	NM_004781	7831443	7839705	5
chr1	7844488	7905240	PER3	60752	+	NM_001289863	7844937	7902815	23
chr1	7907671	7913551	UTS2	5880	-	NM_021995	7907825	7913491	5
chr1	7975930	8003225	TNFRSF9	27295	-	NM_001561	7980894	8000054	9
chr1	8021713	8045342	PARK7	23629	+	NM_001123377	8022845	8045114	7
chr1	8071778	8086393	ERRFI1	14615	-	NM_018948	8073269	8075679	4
chr1	8268731	8275268	LOC102724539	6537	+	NR_125998	8275268	8275268	4
chr1	8378144	8404227	SLC45A1	26083	+	NM_001080397	8378168	8404073	9
chr1	8412463	8877699	RERE	465236	-	NM_012102	8415146	8716356	24
chr1	8484704	8495076	LOC102724552	10372	+	NR_125999	8495076	8495076	4
chr1	8554859	8554973	SNORD128	114	-	NR_132752	8554973	8554973	1
chr1	8921058	8939151	ENO1	18093	-	NM_001428	8921418	8934967	12
chr1	8926560	8926649	MIR6728	89	-	NR_106786	8926649	8926649	1
chr1	8938893	8939943	ENO1-AS1	1050	+	NR_038351	8939943	8939943	2
chr1	9005892	9035148	CA6	29256	+	NM_001215	9005945	9034763	8
chr1	9063358	9086404	SLC2A7	23046	-	NM_207420	9063358	9086404	12
chr1	9097004	9129887	SLC2A5	32883	-	NM_003039	9097644	9129595	12
chr1	9164475	9189229	GPR157	24754	-	NM_024980	9164477	9189086	4
chr1	9208069	9242397	MIR34AHG	34328	-	NR_132742	9242397	9242397	2
chr1	9211726	9211836	MIR34A	110	-	NR_029610	9211836	9211836	1
chr1	9242262	9252144	LOC102724571	9882	+	NR_132738	9252144	9252144	3
chr1	9294862	9331394	H6PD	36532	+	NM_004285	9304993	9324928	5
chr1	9352940	9429590	SPSB1	76650	+	NM_025106	9415950	9427634	3
chr1	9485152	9489055	LOC100506022	3903	-	NR_104622	9489055	9489055	2
chr1	9599527	9642831	SLC25A33	43304	+	NM_032315	9599750	9642559	7
chr1	9648931	9674935	TMEM201	26004	+	NM_001130924	9648988	9673141	11
chr1	9711789	9789172	PIK3CD	77383	+	NM_005026	9770513	9787104	24
chr1	9712667	9714644	PIK3CD-AS1	1977	-	NR_027045	9714644	9714644	2
chr1	9732483	9747632	PIK3CD-AS2	15149	-	NR_126366	9747632	9747632	3
chr1	9789078	9884584	CLSTN1	95506	-	NM_001009566	9790565	9883791	19
chr1	9908333	9970316	CTNNBIP1	61983	-	NM_020248	9910775	9932122	6
chr1	9982170	10003485	LZIC	21315	-	NM_001316975	9982312	9996677	8
chr1	10002980	10045556	NMNAT1	42576	+	NM_001297778	10032131	10042759	5
chr1	10027438	10027516	MIR5697	78	+	NR_049882	10027516	10027516	1
chr1	10057254	10076078	RBP7	18824	+	NM_052960	10057316	10075890	4
chr1	10093040	10241296	UBE4B	148256	+	NM_001105562	10093728	10240014	28
chr1	10270763	10441661	KIF1B	170898	+	NM_015074	10292386	10436645	47
chr1	10459048	10480568	PGD	21520	+	NM_002631	10459174	10479806	13
chr1	10490158	10502872	APITD1	12714	+	NM_199294	10490574	10502462	5
chr1	10490158	10512060	APITD1-CORT	21902	+	NM_001270517	10490574	10502462	6
chr1	10509775	10512060	CORT	2285	+	NM_001302	10510280	10511652	2
chr1	10520602	10532613	DFFA	12011	-	NM_004401	10521546	10532515	6
chr1	10535002	10690815	PEX14	155813	+	NM_004565	10535023	10690044	9
chr1	10696665	10856733	CASZ1	160068	-	NM_001079843	10698998	10753946	21
chr1	11006529	11042094	C1orf127	35565	-	NM_001170754	11007719	11042094	13
chr1	11072678	11085549	TARDBP	12871	+	NM_007375	11073784	11082711	6
chr1	11086579	11107296	MASP2	20717	-	NM_006610	11086941	11107264	11
chr1	11114648	11120091	SRM	5443	-	NM_003132	11114921	11120000	8
chr1	11126669	11159967	EXOSC10	33298	-	NM_001001998	11126774	11159888	25
chr1	11166587	11322608	MTOR	156021	-	NM_004958	11167541	11319466	58
chr1	11203954	11209595	MTOR-AS1	5641	+	NR_046600	11209595	11209595	4
chr1	11249345	11256038	ANGPTL7	6693	+	NM_021146	11249636	11255080	5
chr1	11333254	11348491	UBIAD1	15237	+	NM_013319	11333588	11346188	2
chr1	11539294	11597640	PTCHD2	58346	+	NM_020780	11561049	11596743	21
chr1	11669587	11673411	LOC101929181	3824	+	NR_104624	11673411	11673411	3
chr1	11708417	11714888	FBXO2	6471	-	NM_012168	11708750	11714397	6
chr1	11714431	11723384	FBXO44	8953	+	NM_001304791	11715892	11721330	6
chr1	11724149	11734409	FBXO6	10260	+	NM_018438	11728715	11733908	6
chr1	11734536	11751678	MAD2L2	17142	-	NM_001127325	11734831	11740658	9
chr1	11751780	11780336	DRAXIN	28556	+	NM_198545	11766315	11779753	7
chr1	11796141	11810828	AGTRAP	14687	+	NM_001040197	11796265	11808650	6
chr1	11822249	11849642	C1orf167	27393	+	NM_001010881	11824457	11849503	21
chr1	11837133	11839676	LOC102724659	2543	-	NR_126000	11839676	11839676	3
chr1	11845786	11866160	MTHFR	20374	-	NM_005957	11850736	11863173	12
chr1	11866152	11903201	CLCN6	37049	+	NM_001286	11866319	11900280	23
chr1	11900375	11907673	NPPA-AS1	7298	+	NR_037806	11907673	11907673	4
chr1	11905766	11907840	NPPA	2074	-	NM_006172	11906065	11907741	3
chr1	11917520	11918992	NPPB	1472	-	NM_002521	11917711	11918890	3
chr1	11979644	11986485	KIAA2013	6841	-	NM_138346	11980371	11986294	3
chr1	11994723	12035599	PLOD1	40876	+	NM_001316320	11994836	12034865	20
chr1	12040237	12073572	MFN2	33335	+	NM_014874	12049225	12071622	19
chr1	12079298	12092106	MIIP	12808	+	NM_021933	12081783	12091865	10
chr1	12089214	12089279	MIR6729	65	+	NR_106787	12089279	12089279	1
chr1	12123433	12204264	TNFRSF8	80831	+	NM_001243	12123655	12202588	15
chr1	12226999	12227095	MIR7846	96	+	NR_107000	12227095	12227095	1
chr1	12227059	12269277	TNFRSF1B	42218	+	NM_001066	12227148	12267077	10
chr1	12251769	12251830	MIR4632	61	+	NR_039775	12251830	12251830	1
chr1	12290095	12572098	VPS13D	282003	+	NM_015378	12294323	12569078	70
chr1	12567299	12567451	SNORA59A	152	+	NR_003025	12567451	12567451	1
chr1	12567299	12567451	SNORA59B	152	+	NR_003022	12567451	12567451	1
chr1	12627938	12677737	DHRS3	49799	-	NM_004753	12628368	12677353	6
chr1	12638984	12639051	MIR6730	67	-	NR_106788	12639051	12639051	1
chr1	12704565	12727097	AADACL4	22532	+	NM_001013630	12704565	12726746	4
chr1	12776117	12788726	AADACL3	12609	+	NM_001103170	12776179	12785963	4
chr1	12806133	12821102	C1orf158	14969	+	NM_152290	12806378	12820884	4
chr1	12834990	12838048	PRAMEF12	3058	+	NM_001080830	12835010	12837742	3
chr1	12851545	12856777	PRAMEF1	5232	+	NM_023013	12853376	12856145	4
chr1	12884617	12891264	PRAMEF11	6647	-	NM_001146344	12884799	12888648	4
chr1	12907229	12908157	HNRNPCL4	928	-	NM_001302551	12907260	12908142	1
chr1	12907229	12908235	HNRNPCL3	1006	-	NM_001146181	12907260	12908142	1
chr1	12907229	12908609	HNRNPCL1	1380	-	NM_001013631	12907260	12908142	2
chr1	12916940	12921764	PRAMEF2	4824	+	NM_023014	12918864	12921634	4
chr1	12939032	12946025	PRAMEF4	6993	-	NM_001009611	12939364	12943215	4
chr1	12976466	12980300	PRAMEF7	3834	+	NM_001012277	12977512	12980233	4
chr1	12976466	12980300	PRAMEF8	3834	+	NM_001012276	12977512	12980233	4
chr1	12998301	13007406	PRAMEF6	9105	-	NM_001010889	12998504	13002348	4
chr1	12998504	13002353	PRAMEF9	3849	-	NM_001010890	12998504	13002353	3
chr1	13035542	13038381	PRAMEF22	2839	+	NM_001100631	13035542	13038381	3
chr1	13052239	13112702	PRAMEF25	60463	-	NM_001310134	13052725	13112686	4
chr1	13052393	13112702	PRAMEF26	60309	-	NM_001306072	13052725	13112686	4
chr1	13182959	13184326	HNRNPCL2	1367	-	NM_001136561	13182990	13183872	2
chr1	13194517	13199727	PRAMEF34P	5210	+	NR_111947	13199727	13199727	4
chr1	13194517	13199727	PRAMEF36P	5210	+	NR_111945	13199727	13199727	4
chr1	13328195	13698405	PRAMEF18	370210	-	NM_001099850	13328832	13698358	3
chr1	13359818	13369057	PRAMEF5	9239	+	NM_001013407	13364890	13368733	4
chr1	13421175	13428190	PRAMEF15	7015	+	NM_001098376	13424002	13427859	4
chr1	13424002	13427859	PRAMEF27	3857	+	NM_001300891	13424002	13427859	3
chr1	13447413	13452656	PRAMEF13	5243	-	NM_001291380	13448049	13450836	4
chr1	13447413	13452656	PRAMEF14	5243	-	NM_001024661	13448049	13450836	4
chr1	13474052	13477569	PRAMEF19	3517	-	NM_001099790	13474688	13477522	3
chr1	13495253	13498259	PRAMEF16	3006	+	NM_001045480	13495283	13498128	3
chr1	13495257	13498257	PRAMEF17	3000	+	NM_001099851	13495283	13498128	3
chr1	13629924	13635299	PRAMEF10	5375	+	NM_001039361	13632347	13635279	4
chr1	13629931	13635299	PRAMEF33P	5368	+	NM_001291381	13632347	13635279	4
chr1	13736906	13747803	PRAMEF20	10897	+	NM_001099852	13742811	13747733	4
chr1	13801444	13840242	LRRC38	38798	-	NM_001010847	13802313	13840088	2
chr1	13910251	13944452	PDPN	34201	+	NM_006474	13910300	13942406	6
chr1	14026734	14151574	PRDM2	124840	+	NM_001135610	14042100	14149679	8
chr1	14925212	15444544	KAZN	519332	+	NM_201628	14925493	15441131	15
chr1	15438310	15478960	TMEM51-AS1	40650	-	NR_027136	15478960	15478960	5
chr1	15479027	15546974	TMEM51	67947	+	NM_001136216	15541583	15546239	4
chr1	15490691	15498120	C1orf195	7429	-	NM_001278502	15490839	15497774	3
chr1	15573767	15724622	FHAD1	150855	+	NM_052929	15578280	15723909	31
chr1	15736390	15756839	EFHD2	20449	+	NM_024329	15736467	15755220	4
chr1	15764937	15773153	CTRC	8216	+	NM_007272	15764960	15773084	8
