Gene	RegionStart	RegionStop	GeneStart	GeneStop	Feature	FeatureStart	FeatureStop	PeakIntensity
AATF	-20000	127997	0	107997	H3K4me3	-1774	2895	857
AATF	-20000	127997	0	107997	H3K9ac	-1704	2860	756
AATF	-20000	127997	0	107997	H3K27me3	110152	125768	368
AATF	-20000	127997	0	107997	H3K27me3	-2615	-2112	533
AATF	-20000	127997	0	107997	H3K27me3	-18642	-7523	541
AATF	-20000	127997	0	107997	H3K36me3	73737	74014	919
AATF	-20000	127997	0	107997	H3K36me3	82126	82250	1000
AATF	-20000	127997	0	107997	H3K36me3	82587	82818	908
AATF	-20000	127997	0	107997	H3K36me3	102377	102478	1000
ABCG2	-20000	161059	0	141059	H3K27me3	-15511	-13986	412
ABCG2	-20000	161059	0	141059	H3K4me3	-14884	-12612	350
ABCG2	-20000	161059	0	141059	H3K9ac	72070	72368	631
ABCG2	-20000	161059	0	141059	H3K9ac	72822	73059	528
ABCG2	-20000	161059	0	141059	H3K9ac	-362	214	371
ABCG2	-20000	161059	0	141059	H3K4me3	71805	73127	647
ABCG2	-20000	161059	0	141059	H3K4me3	52565	53081	394
ABCG2	-20000	161059	0	141059	H3K4me3	11858	11962	731
ABCG2	-20000	161059	0	141059	H3K9ac	11752	11880	667
ABCG2	-20000	161059	0	141059	H3K27me3	130989	160122	314
ABCG2	-20000	161059	0	141059	H3K27me3	10239	31313	316
ABCG2	-20000	161059	0	141059	H3K27me3	72598	72771	868
ABCG2	-20000	161059	0	141059	H3K27me3	72608	72871	807
ABCG2	-20000	161059	0	141059	H3K27me3	53236	104094	312
ABCG2	-20000	161059	0	141059	H3K27me3	73031	73138	1000
ACE	-20000	57026	0	37026	H3K27me3	24496	25081	681
ACE	-20000	57026	0	37026	H3K4me3	-8291	-6864	418
ACE	-20000	57026	0	37026	H3K27me3	50872	51099	901
ACE	-20000	57026	0	37026	H3K27me3	49824	49968	1000
ACE	-20000	57026	0	37026	H3K27me3	27753	27972	814
ACE	-20000	57026	0	37026	H3K27me3	1799	1927	1000
ACE	-20000	57026	0	37026	H3K27me3	5046	5148	1000
ACE	-20000	57026	0	37026	H3K27me3	5159	5270	1000
ACE	-20000	57026	0	37026	H3K27me3	5657	6363	758
ACE	-20000	57026	0	37026	H3K27me3	6608	6783	928
ACE	-20000	57026	0	37026	H3K27me3	6880	7078	924
ACE	-20000	57026	0	37026	H3K27me3	15762	16414	870
ACE	-20000	57026	0	37026	H3K27me3	15774	17349	655
ACE	-20000	57026	0	37026	H3K27me3	20428	20795	667
ACE	-20000	57026	0	37026	H3K27me3	23491	23893	913
ACE	-20000	57026	0	37026	H3K27me3	24056	24274	893
ACE	-20000	57026	0	37026	H3K27me3	25973	26389	689
ACE	-20000	57026	0	37026	H3K27me3	25463	25675	953
ACO1	-20000	86232	0	66232	H3K27me3	-4220	-2477	382
ACO1	-20000	86232	0	66232	H3K36me3	71792	71904	1000
ACO1	-20000	86232	0	66232	H3K36me3	51594	51700	1000
ACO1	-20000	86232	0	66232	H3K36me3	64527	65435	433
ACO1	-20000	86232	0	66232	H3K36me3	48880	49164	662
ACO1	-20000	86232	0	66232	H3K9ac	-1362	1914	575
ACO1	-20000	86232	0	66232	H3K27me3	-1568	-1397	868
ACO1	-20000	86232	0	66232	H3K36me3	1081	3515	390
ACO1	-20000	86232	0	66232	H3K4me3	-1580	1744	605
ACO1	-20000	86232	0	66232	H3K36me3	15336	59065	341
ACO1	-20000	86232	0	66232	H3K36me3	21086	21454	691
ACO1	-20000	86232	0	66232	H3K27me3	-15162	-14364	450
ACO1	-20000	86232	0	66232	H3K36me3	42739	42944	721
ACO1	-20000	86232	0	66232	H3K36me3	45594	45802	714
ACTB	-20000	23454	0	3454	H3K4me3	-3651	3860	674
ACTB	-20000	23454	0	3454	H3K4me3	-19309	-18550	576
ACTB	-20000	23454	0	3454	H3K4me3	20542	20722	639
ACTB	-20000	23454	0	3454	H3K4me3	15299	18944	888
ACTB	-20000	23454	0	3454	H3K9ac	15352	18852	741
ACTB	-20000	23454	0	3454	H3K9ac	-4010	4564	1000
ACTB	-20000	23454	0	3454	H3K9ac	-19402	-18507	634
ACTB	-20000	23454	0	3454	H3K36me3	480	6120	742
ACTC1	-20000	27631	0	7631	H3K27me3	24716	24940	867
ACTC1	-20000	27631	0	7631	H3K27me3	1274	1480	927
ACTC1	-20000	27631	0	7631	H3K9ac	-4353	-3529	466
ACTC1	-20000	27631	0	7631	H3K9ac	-15126	-15009	603
ACTC1	-20000	27631	0	7631	H3K4me3	-510	784	318
ACTC1	-20000	27631	0	7631	H3K4me3	-4641	-3333	416
ACTC1	-20000	27631	0	7631	H3K27me3	25807	25965	867
