Gene	RegionStart	RegionStop	GeneStart	GeneStop	Feature	FeatureStart	FeatureStop	PeakIntensity
AATF	-20000	127997	0	107997	H3K9ac	117663	117897	711
AATF	-20000	127997	0	107997	H3K36me3	35019	53657	352
AATF	-20000	127997	0	107997	H3K9ac	-736	1270	708
AATF	-20000	127997	0	107997	H3K9ac	95379	100410	287
AATF	-20000	127997	0	107997	H3K9ac	106770	106926	640
AATF	-20000	127997	0	107997	H3K9ac	116586	118297	445
AATF	-20000	127997	0	107997	H3K9ac	117048	117260	720
AATF	-20000	127997	0	107997	H3K9ac	-16576	-6651	286
AATF	-20000	127997	0	107997	H3K4me3	-16153	-5104	459
AATF	-20000	127997	0	107997	H3K4me3	-3622	2228	540
AATF	-20000	127997	0	107997	H3K4me3	116942	118879	327
AATF	-20000	127997	0	107997	H3K36me3	-5966	28614	313
AATF	-20000	127997	0	107997	H3K36me3	80850	93070	281
AATF	-20000	127997	0	107997	H3K36me3	96559	113634	283
ABCG2	-20000	161059	0	141059	H3K9ac	28692	28800	871
ABCG2	-20000	161059	0	141059	H3K9ac	51931	53695	423
ABCG2	-20000	161059	0	141059	H3K9ac	71834	72900	667
ABCG2	-20000	161059	0	141059	H3K9ac	82985	83562	445
ABCG2	-20000	161059	0	141059	H3K27me3	71272	74814	376
ABCG2	-20000	161059	0	141059	H3K36me3	109258	110275	420
ABCG2	-20000	161059	0	141059	H3K4me3	71558	73440	680
ACE	-20000	57026	0	37026	H3K4me3	38339	39012	616
ACE	-20000	57026	0	37026	H3K27me3	38833	39038	599
ACE	-20000	57026	0	37026	H3K27me3	52140	55785	455
ACE	-20000	57026	0	37026	H3K9ac	-11507	674	270
ACE	-20000	57026	0	37026	H3K9ac	-7476	-6974	430
ACE	-20000	57026	0	37026	H3K9ac	35338	36364	356
ACE	-20000	57026	0	37026	H3K4me3	-9484	-5823	452
ACE	-20000	57026	0	37026	H3K27me3	-6121	-5864	732
ACE	-20000	57026	0	37026	H3K27me3	-6998	-6287	677
ACE	-20000	57026	0	37026	H3K27me3	39168	39388	572
ACE	-20000	57026	0	37026	H3K27me3	-7338	-5464	517
ACE	-20000	57026	0	37026	H3K4me3	53194	53303	666
ACE	-20000	57026	0	37026	H3K27me3	-9753	-8153	513
ACE	-20000	57026	0	37026	H3K4me3	53760	53917	632
ACO1	-20000	86232	0	66232	H3K36me3	41379	41481	1000
ACO1	-20000	86232	0	66232	H3K4me3	-1654	1681	618
ACO1	-20000	86232	0	66232	H3K36me3	66421	66529	1000
ACO1	-20000	86232	0	66232	H3K36me3	64429	64789	700
ACO1	-20000	86232	0	66232	H3K36me3	46658	46836	999
ACO1	-20000	86232	0	66232	H3K36me3	21390	21627	662
ACO1	-20000	86232	0	66232	H3K27me3	-2656	299	454
ACO1	-20000	86232	0	66232	H3K36me3	41397	41612	748
ACO1	-20000	86232	0	66232	H3K9ac	5483	5634	1000
ACO1	-20000	86232	0	66232	H3K9ac	48	474	1000
ACO1	-20000	86232	0	66232	H3K9ac	-666	-451	799
ACO1	-20000	86232	0	66232	H3K9ac	-1029	874	639
ACO1	-20000	86232	0	66232	H3K9ac	-1562	-1441	931
ACTB	-20000	23454	0	3454	H3K36me3	73	7330	886
ACTB	-20000	23454	0	3454	H3K9ac	15395	18344	987
ACTB	-20000	23454	0	3454	H3K4me3	-3357	3717	796
ACTB	-20000	23454	0	3454	H3K4me3	15308	18711	861
ACTB	-20000	23454	0	3454	H3K9ac	-3771	5477	1000
ACTC1	-20000	27631	0	7631	H3K4me3	-370	903	572
ACTC1	-20000	27631	0	7631	H3K27me3	-220	1574	751
ACTC1	-20000	27631	0	7631	H3K9ac	21470	26492	294
ACTC1	-20000	27631	0	7631	H3K36me3	880	2808	397
ACTC1	-20000	27631	0	7631	H3K27me3	-606	-441	826
ACTC1	-20000	27631	0	7631	H3K9ac	-708	987	530
ACTC1	-20000	27631	0	7631	H3K27me3	-1054	-674	782
ADAM19	-20000	200290	0	180290	H3K27me3	1251	1555	724
ADAM19	-20000	200290	0	180290	H3K36me3	94132	94389	772
ADAM19	-20000	200290	0	180290	H3K36me3	83092	89239	301
ADAM19	-20000	200290	0	180290	H3K9ac	23	701	633
ADAM19	-20000	200290	0	180290	H3K9ac	47362	47494	821
ADAM19	-20000	200290	0	180290	H3K9ac	78577	79187	437
ADAM19	-20000	200290	0	180290	H3K36me3	56803	75846	282
ADAM19	-20000	200290	0	180290	H3K36me3	3007	14231	281
ADAM19	-20000	200290	0	180290	H3K27me3	313	2077	522
ADAM19	-20000	200290	0	180290	H3K27me3	112913	117212	649
ADAM19	-20000	200290	0	180290	H3K27me3	1118	1232	868
ADAM19	-20000	200290	0	180290	H3K27me3	713	1038	806
ADAM19	-20000	200290	0	180290	H3K27me3	-1210	-990	636
ADAM19	-20000	200290	0	180290	H3K9ac	-395	-148	573
ADAM19	-20000	200290	0	180290	H3K4me3	-1407	1975	582
ADAM19	-20000	200290	0	180290	H3K4me3	114849	116524	572
ADAM23	-20000	197487	0	177487	H3K4me3	-1675	1930	532
ADAM23	-20000	197487	0	177487	H3K27me3	1182	1379	802
ADAM23	-20000	197487	0	177487	H3K27me3	1473	1655	750
ADAM23	-20000	197487	0	177487	H3K9ac	-756	1125	514
ADAM23	-20000	197487	0	177487	H3K36me3	38691	43723	308
ADAM23	-20000	197487	0	177487	H3K9ac	44	825	696
ADAM23	-20000	197487	0	177487	H3K9ac	-354	-236	770
ADAM23	-20000	197487	0	177487	H3K27me3	471	1008	655
ADAM23	-20000	197487	0	177487	H3K27me3	-1901	-492	466
ADAM9	-20000	128275	0	108275	H3K36me3	27121	27221	1000
ADAM9	-20000	128275	0	108275	H3K4me3	-2816	2545	910
ADAM9	-20000	128275	0	108275	H3K9ac	2040	2260	657
ADAM9	-20000	128275	0	108275	H3K9ac	-1895	1257	1000
ADAM9	-20000	128275	0	108275	H3K36me3	-7503	-2048	501
ADAM9	-20000	128275	0	108275	H3K36me3	93582	94625	409
ADAM9	-20000	128275	0	108275	H3K36me3	56180	69306	305
ADAM9	-20000	128275	0	108275	H3K36me3	31595	31810	784
ADAM9	-20000	128275	0	108275	H3K36me3	29424	29651	715
ADAM9	-20000	128275	0	108275	H3K36me3	27276	27424	949
ADAM9	-20000	128275	0	108275	H3K36me3	9734	36409	337
ADAM9	-20000	128275	0	108275	H3K36me3	101679	108565	294
AIM1	-20000	79030	0	59030	H3K4me3	-2833	2475	569
AIM1	-20000	79030	0	59030	H3K9ac	28651	28759	809
AIM1	-20000	79030	0	59030	H3K9ac	766	1800	426
AIM1	-20000	79030	0	59030	H3K9ac	-1764	-515	353
AIM1	-20000	79030	0	59030	H3K27me3	-4068	3708	950
AK1	-20000	31264	0	11264	H3K36me3	-13678	-12072	547
AK1	-20000	31264	0	11264	H3K36me3	-6886	-6649	662
AK1	-20000	31264	0	11264	H3K4me3	382	606	593
AK1	-20000	31264	0	11264	H3K4me3	201	382	579
AK1	-20000	31264	0	11264	H3K4me3	-673	77	702
AK1	-20000	31264	0	11264	H3K36me3	1781	10236	296
AK1	-20000	31264	0	11264	H3K4me3	-19640	-19118	373
AK1	-20000	31264	0	11264	H3K36me3	-19505	-14205	618
AK1	-20000	31264	0	11264	H3K36me3	-8020	-7492	507
AK1	-20000	31264	0	11264	H3K36me3	-10400	-8536	528
ALCAM	-20000	230201	0	210201	H3K9ac	2057	3023	822
ALCAM	-20000	230201	0	210201	H3K27me3	-12217	-11296	423
ALCAM	-20000	230201	0	210201	H3K36me3	152914	196204	318
ALCAM	-20000	230201	0	210201	H3K36me3	185704	186321	680
ALCAM	-20000	230201	0	210201	H3K36me3	187164	187309	1000
ALCAM	-20000	230201	0	210201	H3K9ac	-13305	-12015	352
ALCAM	-20000	230201	0	210201	H3K27me3	227	3756	413
ALCAM	-20000	230201	0	210201	H3K9ac	1803	2006	617
ALCAM	-20000	230201	0	210201	H3K9ac	325	1270	654
ALCAM	-20000	230201	0	210201	H3K9ac	-410	-181	757
ALCAM	-20000	230201	0	210201	H3K9ac	-1329	-978	729
ALCAM	-20000	230201	0	210201	H3K4me3	-2236	4444	804
ALCAM	-20000	230201	0	210201	H3K4me3	-13463	-11780	471
ALDH7A1	-20000	73550	0	53550	H3K36me3	17953	18206	973
ALDH7A1	-20000	73550	0	53550	H3K36me3	18281	18428	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	19581	19685	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	19783	19894	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	24441	24560	990
ALDH7A1	-20000	73550	0	53550	H3K4me3	-7314	-4188	677
ALDH7A1	-20000	73550	0	53550	H3K36me3	8585	8905	932
ALDH7A1	-20000	73550	0	53550	H3K4me3	-1290	3173	692
ALDH7A1	-20000	73550	0	53550	H3K4me3	-7093	-6834	488
ALDH7A1	-20000	73550	0	53550	H3K36me3	-14923	-14773	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	-17575	-17461	1000
ALDH7A1	-20000	73550	0	53550	H3K9ac	52464	52666	631
ALDH7A1	-20000	73550	0	53550	H3K9ac	-736	2063	811
ALDH7A1	-20000	73550	0	53550	H3K36me3	25645	25880	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	30568	30784	885
ALDH7A1	-20000	73550	0	53550	H3K9ac	-7285	-3889	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	9796	9938	972
ALDH7A1	-20000	73550	0	53550	H3K4me3	-6502	-4947	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	31416	31516	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	7170	7320	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	6633	6734	1000
ALDH7A1	-20000	73550	0	53550	H3K36me3	-8906	-8061	806
ALDH7A1	-20000	73550	0	53550	H3K36me3	17747	17849	1000
