Gene	RegionStart	RegionStop	GeneStart	GeneStop	Feature	FeatureStart	FeatureStop	PeakIntensity
AATF	-20000	127997	0	107997	H3K4me3	-14793	-14447	621
AATF	-20000	127997	0	107997	H3K4me3	-12771	-10444	350
AATF	-20000	127997	0	107997	H3K4me3	-1798	5718	959
AATF	-20000	127997	0	107997	H3K4me3	76979	77083	708
AATF	-20000	127997	0	107997	H3K4me3	77137	77335	571
AATF	-20000	127997	0	107997	H3K9ac	-1407	2538	773
AATF	-20000	127997	0	107997	H3K27me3	115725	120921	315
AATF	-20000	127997	0	107997	H3K36me3	97659	97840	959
AATF	-20000	127997	0	107997	H3K36me3	21583	21722	926
ABCG2	-20000	161059	0	141059	H3K27me3	14531	16318	440
ABCG2	-20000	161059	0	141059	H3K27me3	18588	18803	806
ABCG2	-20000	161059	0	141059	H3K4me3	-526	-313	587
ABCG2	-20000	161059	0	141059	H3K27me3	21724	28413	308
ABCG2	-20000	161059	0	141059	H3K27me3	70844	74730	560
ABCG2	-20000	161059	0	141059	H3K27me3	78812	102105	333
ABCG2	-20000	161059	0	141059	H3K27me3	117468	148812	332
ABCG2	-20000	161059	0	141059	H3K4me3	71328	73495	693
ABCG2	-20000	161059	0	141059	H3K4me3	-14087	-13975	812
ABCG2	-20000	161059	0	141059	H3K27me3	5082	5241	1000
ABCG2	-20000	161059	0	141059	H3K4me3	11810	12195	565
ABCG2	-20000	161059	0	141059	H3K4me3	-200	-39	669
ABCG2	-20000	161059	0	141059	H3K4me3	-300	-73	598
ABCG2	-20000	161059	0	141059	H3K27me3	18703	18804	1000
ACE	-20000	57026	0	37026	H3K4me3	-7284	-7087	618
ACE	-20000	57026	0	37026	H3K27me3	18542	18733	912
ACE	-20000	57026	0	37026	H3K27me3	18869	19065	992
ACE	-20000	57026	0	37026	H3K4me3	-7769	-7667	690
ACE	-20000	57026	0	37026	H3K4me3	29987	30793	542
ACO1	-20000	86232	0	66232	H3K9ac	-790	1042	517
ACO1	-20000	86232	0	66232	H3K36me3	71076	71188	1000
ACO1	-20000	86232	0	66232	H3K36me3	74795	75078	937
ACO1	-20000	86232	0	66232	H3K36me3	78114	78224	1000
ACO1	-20000	86232	0	66232	H3K4me3	-1970	2736	739
ACO1	-20000	86232	0	66232	H3K4me3	-5668	-5234	535
ACO1	-20000	86232	0	66232	H3K4me3	-5670	-5564	739
ACTB	-20000	23454	0	3454	H3K9ac	-4296	5475	1000
ACTB	-20000	23454	0	3454	H3K9ac	-8909	-7658	568
ACTB	-20000	23454	0	3454	H3K4me3	-12303	-12046	691
ACTB	-20000	23454	0	3454	H3K9ac	15311	18995	843
ACTB	-20000	23454	0	3454	H3K4me3	-11584	-10587	648
ACTB	-20000	23454	0	3454	H3K4me3	-9050	-7343	497
